Domain_ID,Domain_Name,Num_Domain_ID,Synonyms,Logical_Type_ID,Num_Logical_Type_ID,T_Size,T_Precision,T_Scale,Native_Type,LT_Name
C0A2AE91-C73B-4803-B23D-C002CCBDABE6,Accounting classification (Input Layer),1,ACCNTNG_CLSSFCTN_INPT,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,3,,,VARCHAR2,String
B55403CF-E495-4846-B034-10BB6A3F7AE2,Accounting classification applicable to off-balance sheet items,2,OFF_BLNC_SHT_ACCNTNG_CLSSFCTN,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,3,,,VARCHAR2,String
7631EDCB-3034-4948-BBCA-3908FF5794F5,Accounting classification for assets,3,ACCNTNG_CLSSFCTN_ASSTS,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,3,,,VARCHAR2,String
6988530D-D9ED-559E-9AA3-DFE768D03043,Accounting Classification for ET derivatives (Input Layer),4,ACCNTNG_CLSSFCTN_ETD_INPT,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,3,,,VARCHAR2,String
A553F1FA-51FD-48C2-A80A-426CA94AD34E,Accounting classification for liabilities,5,ACCNTNG_CLSSFCTN_LBLTS,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,2,,,VARCHAR2,String
4E61161D-C89A-B12E-25C4-15A579AD919D,Accounting classification for liabilities (Input Layer),6,ACCNTNG_CLSSFCTN_LBLTS_INPT,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,2,,,VARCHAR2,String
88DEBCF8-9F9A-8601-FA1C-0E4B7A1D51DF,Accounting classification type,7,ACCNTNG_CLSSFCTN_TYP,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,3,,,VARCHAR2,String
4CBDE993-B269-D10F-4FD3-13040004B341,Accounting consolidation level,8,ACCNTNG_CNSLDTN_LVL,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,1,,,VARCHAR2,String
50954ADF-8EFF-2970-08FC-618EDB09B7C9,Accounting consolidation level (Input layer),9,ACCNTNG_CNSLDTN_LVL_INPT,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,1,,,VARCHAR2,String
E121E041-B09C-AB9A-70C9-78308EDD10E8,Accounting framework,10,ACCNTNG_FRMWRK,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,1,,,VARCHAR2,String
2F34F4CF-5CD5-E3FD-D747-233B1B39FC14,Accounting framework (Input layer),11,ACCNTNG_FRMWRK_INPT,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,1,,,VARCHAR2,String
67BB8028-D0A7-E1BE-DD13-29EB4D4788D9,Accounting hedge indicator,12,ACCNTNG_HDG_INDCTR,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,1,,,VARCHAR2,String
ce11f94d-a946-4058-b9aa-2ceb6cdfe2bd,Accounting hedge indicator (Input Layer),13,ACCNTNG_HDG_INDCTR_INPT,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,1,,,VARCHAR2,String
6C1310BC-9BCB-EAB6-C7AD-8D72C67626A3,Accrued interests for market values indicator,14,ACCRD_INTRST_MRKT_VL_INDCTR_SHSG4_ISIN_ACCRD_INTRST_MRKT_VL_INDCTR_REF,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,1,,,VARCHAR2,String
1B9F4F1F-B087-C214-F626-97A992FA878D,Address type,15,ADDRSS_TYP,A3A3C77D-0366-9768-FF89-1C25E56881C8,562,1,,,VARCHAR2,String
