MAINTENANCE_AGENCY_ID,CUBE_MAPPING_ID,NAME,CODE,SOURCE_CUBE_ID,DESTINATION_CUBE_ID,DESCRIPTION
ECB,M_F_00.01_REF_FINREP,F_00.01-->F_00.01_REF__FINREP,M_F_00.01_REF_FINREP,EBA_FINREP_EBA_F_00.01_FINREP,FINREP_REF_F_00.01_REF_FINREP,"Mapping cubes, source cube: F_00.01, target cube: F_00.01_REF, version: FINREP"
ECB,M_F_05.01_REF_FINREP 2.8,F_05.01-->F_05.01_REF__FINREP 2.8,M_F_05.01_REF_FINREP 2.8,EBA_FINREP_EBA_F_05.01_FINREP_2.8,FINREP_REF_F_05.01_REF_FINREP 2.8,"Mapping cubes, source cube: F_05.01, target cube: F_05.01_REF, version: FINREP 2.8"
ECB,M_F_24.02_REF_FINREP 2.9,F_24.02-->F_24.02_REF__FINREP 2.9,M_F_24.02_REF_FINREP 2.9,EBA_FINREP_EBA_F_24.02_FINREP_2.9,FINREP_REF_F_24.02_REF_FINREP 2.9,"Mapping cubes, source cube: F_24.02, target cube: F_24.02_REF, version: FINREP 2.9"
ECB,M_F_23.03_REF_FINREP 2.9,F_23.03-->F_23.03_REF__FINREP 2.9,M_F_23.03_REF_FINREP 2.9,EBA_FINREP_EBA_F_23.03_FINREP_2.9,FINREP_REF_F_23.03_REF_FINREP 2.9,"Mapping cubes, source cube: F_23.03, target cube: F_23.03_REF, version: FINREP 2.9"
ECB,M_F_18.01_REF_FINREP 2.9,F_18.01-->F_18.01_REF__FINREP 2.9,M_F_18.01_REF_FINREP 2.9,EBA_FINREP_EBA_F_18.01_FINREP_2.9,FINREP_REF_F_18.01_REF_FINREP 2.9,"Mapping cubes, source cube: F_18.01, target cube: F_18.01_REF, version: FINREP 2.9"
ECB,M_F_20.04_REF_FINREP 2.8,F_20.04-->F_20.04_REF__FINREP 2.8,M_F_20.04_REF_FINREP 2.8,EBA_FINREP_EBA_F_20.04_FINREP_2.8,FINREP_REF_F_20.04_REF_FINREP 2.8,"Mapping cubes, source cube: F_20.04, target cube: F_20.04_REF, version: FINREP 2.8"
ECB,M_F_16.08_REF_FINREP 2.9,F_16.08-->F_16.08_REF__FINREP 2.9,M_F_16.08_REF_FINREP 2.9,EBA_FINREP_EBA_F_16.08_FINREP_2.9,FINREP_REF_F_16.08_REF_FINREP 2.9,"Mapping cubes, source cube: F_16.08, target cube: F_16.08_REF, version: FINREP 2.9"
ECB,M_F_04.08_REF_FINREP 2.9,F_04.08-->F_04.08_REF__FINREP 2.9,M_F_04.08_REF_FINREP 2.9,EBA_FINREP_EBA_F_04.08_FINREP_2.9,FINREP_REF_F_04.08_REF_FINREP 2.9,"Mapping cubes, source cube: F_04.08, target cube: F_04.08_REF, version: FINREP 2.9"
ECB,M_F_20.03_REF_FINREP 2.8,F_20.03-->F_20.03_REF__FINREP 2.8,M_F_20.03_REF_FINREP 2.8,EBA_FINREP_EBA_F_20.03_FINREP_2.8,FINREP_REF_F_20.03_REF_FINREP 2.8,"Mapping cubes, source cube: F_20.03, target cube: F_20.03_REF, version: FINREP 2.8"
ECB,M_F_23.04_REF_FINREP 2.9,F_23.04-->F_23.04_REF__FINREP 2.9,M_F_23.04_REF_FINREP 2.9,EBA_FINREP_EBA_F_23.04_FINREP_2.9,FINREP_REF_F_23.04_REF_FINREP 2.9,"Mapping cubes, source cube: F_23.04, target cube: F_23.04_REF, version: FINREP 2.9"
ECB,M_F_24.01_REF_FINREP 2.9,F_24.01-->F_24.01_REF__FINREP 2.9,M_F_24.01_REF_FINREP 2.9,EBA_FINREP_EBA_F_24.01_FINREP_2.9,FINREP_REF_F_24.01_REF_FINREP 2.9,"Mapping cubes, source cube: F_24.01, target cube: F_24.01_REF, version: FINREP 2.9"
ECB,M_F_02.00_REF_FINREP 2.9,F_02.00-->F_02.00_REF__FINREP 2.9,M_F_02.00_REF_FINREP 2.9,EBA_FINREP_EBA_F_02.00_FINREP_2.9,FINREP_REF_F_02.00_REF_FINREP 2.9,"Mapping cubes, source cube: F_02.00, target cube: F_02.00_REF, version: FINREP 2.9"
ECB,M_F_06.01_REF_FINREP 2.9,F_06.01-->F_06.01_REF__FINREP 2.9,M_F_06.01_REF_FINREP 2.9,EBA_FINREP_EBA_F_06.01_FINREP_2.9,FINREP_REF_F_06.01_REF_FINREP 2.9,"Mapping cubes, source cube: F_06.01, target cube: F_06.01_REF, version: FINREP 2.9"
ECB,M_F_30.02_REF_FINREP 2.8,F_30.02-->F_30.02_REF__FINREP 2.8,M_F_30.02_REF_FINREP 2.8,EBA_FINREP_EBA_F_30.02_FINREP_2.8,FINREP_REF_F_30.02_REF_FINREP 2.8,"Mapping cubes, source cube: F_30.02, target cube: F_30.02_REF, version: FINREP 2.8"
ECB,M_F_22.01_REF_FINREP 2.9,F_22.01-->F_22.01_REF__FINREP 2.9,M_F_22.01_REF_FINREP 2.9,EBA_FINREP_EBA_F_22.01_FINREP_2.9,FINREP_REF_F_22.01_REF_FINREP 2.9,"Mapping cubes, source cube: F_22.01, target cube: F_22.01_REF, version: FINREP 2.9"
ECB,M_F_47.00_REF_FINREP 2.9,F_47.00-->F_47.00_REF__FINREP 2.9,M_F_47.00_REF_FINREP 2.9,EBA_FINREP_EBA_F_47.00_FINREP_2.9,FINREP_REF_F_47.00_REF_FINREP 2.9,"Mapping cubes, source cube: F_47.00, target cube: F_47.00_REF, version: FINREP 2.9"
ECB,M_F_44.04_REF_FINREP 2.9,F_44.04-->F_44.04_REF__FINREP 2.9,M_F_44.04_REF_FINREP 2.9,EBA_FINREP_EBA_F_44.04_FINREP_2.9,FINREP_REF_F_44.04_REF_FINREP 2.9,"Mapping cubes, source cube: F_44.04, target cube: F_44.04_REF, version: FINREP 2.9"
ECB,M_F_08.02_REF_FINREP 2.8,F_08.02-->F_08.02_REF__FINREP 2.8,M_F_08.02_REF_FINREP 2.8,EBA_FINREP_EBA_F_08.02_FINREP_2.8,FINREP_REF_F_08.02_REF_FINREP 2.8,"Mapping cubes, source cube: F_08.02, target cube: F_08.02_REF, version: FINREP 2.8"
ECB,M_F_04.10_REF_FINREP 2.9,F_04.10-->F_04.10_REF__FINREP 2.9,M_F_04.10_REF_FINREP 2.9,EBA_FINREP_EBA_F_04.10_FINREP_2.9,FINREP_REF_F_04.10_REF_FINREP 2.9,"Mapping cubes, source cube: F_04.10, target cube: F_04.10_REF, version: FINREP 2.9"
ECB,M_F_20.01_REF_FINREP 2.8,F_20.01-->F_20.01_REF__FINREP 2.8,M_F_20.01_REF_FINREP 2.8,EBA_FINREP_EBA_F_20.01_FINREP_2.8,FINREP_REF_F_20.01_REF_FINREP 2.8,"Mapping cubes, source cube: F_20.01, target cube: F_20.01_REF, version: FINREP 2.8"
ECB,M_F_03.00_REF_FINREP 2.8,F_03.00-->F_03.00_REF__FINREP 2.8,M_F_03.00_REF_FINREP 2.8,EBA_FINREP_EBA_F_03.00_FINREP_2.8,FINREP_REF_F_03.00_REF_FINREP 2.8,"Mapping cubes, source cube: F_03.00, target cube: F_03.00_REF, version: FINREP 2.8"
ECB,M_F_23.06_REF_FINREP 2.9,F_23.06-->F_23.06_REF__FINREP 2.9,M_F_23.06_REF_FINREP 2.9,EBA_FINREP_EBA_F_23.06_FINREP_2.9,FINREP_REF_F_23.06_REF_FINREP 2.9,"Mapping cubes, source cube: F_23.06, target cube: F_23.06_REF, version: FINREP 2.9"
ECB,M_F_23.02_REF_FINREP 2.9,F_23.02-->F_23.02_REF__FINREP 2.9,M_F_23.02_REF_FINREP 2.9,EBA_FINREP_EBA_F_23.02_FINREP_2.9,FINREP_REF_F_23.02_REF_FINREP 2.9,"Mapping cubes, source cube: F_23.02, target cube: F_23.02_REF, version: FINREP 2.9"
ECB,M_F_24.03_REF_FINREP 2.9,F_24.03-->F_24.03_REF__FINREP 2.9,M_F_24.03_REF_FINREP 2.9,EBA_FINREP_EBA_F_24.03_FINREP_2.9,FINREP_REF_F_24.03_REF_FINREP 2.9,"Mapping cubes, source cube: F_24.03, target cube: F_24.03_REF, version: FINREP 2.9"
ECB,M_F_42.00_REF_FINREP 2.9,F_42.00-->F_42.00_REF__FINREP 2.9,M_F_42.00_REF_FINREP 2.9,EBA_FINREP_EBA_F_42.00_FINREP_2.9,FINREP_REF_F_42.00_REF_FINREP 2.9,"Mapping cubes, source cube: F_42.00, target cube: F_42.00_REF, version: FINREP 2.9"
ECB,M_F_07.01_REF_FINREP 2.8,F_07.01-->F_07.01_REF__FINREP 2.8,M_F_07.01_REF_FINREP 2.8,EBA_FINREP_EBA_F_07.01_FINREP_2.8,FINREP_REF_F_07.01_REF_FINREP 2.8,"Mapping cubes, source cube: F_07.01, target cube: F_07.01_REF, version: FINREP 2.8"
ECB,M_F_45.02_REF_FINREP 2.9,F_45.02-->F_45.02_REF__FINREP 2.9,M_F_45.02_REF_FINREP 2.9,EBA_FINREP_EBA_F_45.02_FINREP_2.9,FINREP_REF_F_45.02_REF_FINREP 2.9,"Mapping cubes, source cube: F_45.02, target cube: F_45.02_REF, version: FINREP 2.9"
ECB,M_F_23.01_REF_FINREP 2.9,F_23.01-->F_23.01_REF__FINREP 2.9,M_F_23.01_REF_FINREP 2.9,EBA_FINREP_EBA_F_23.01_FINREP_2.9,FINREP_REF_F_23.01_REF_FINREP 2.9,"Mapping cubes, source cube: F_23.01, target cube: F_23.01_REF, version: FINREP 2.9"
ECB,M_F_23.05_REF_FINREP 2.9,F_23.05-->F_23.05_REF__FINREP 2.9,M_F_23.05_REF_FINREP 2.9,EBA_FINREP_EBA_F_23.05_FINREP_2.9,FINREP_REF_F_23.05_REF_FINREP 2.9,"Mapping cubes, source cube: F_23.05, target cube: F_23.05_REF, version: FINREP 2.9"
ECB,M_F_07.02_REF_FINREP 2.8,F_07.02-->F_07.02_REF__FINREP 2.8,M_F_07.02_REF_FINREP 2.8,EBA_FINREP_EBA_F_07.02_FINREP_2.8,FINREP_REF_F_07.02_REF_FINREP 2.8,"Mapping cubes, source cube: F_07.02, target cube: F_07.02_REF, version: FINREP 2.8"
ECB,M_F_20.02_REF_FINREP 2.8,F_20.02-->F_20.02_REF__FINREP 2.8,M_F_20.02_REF_FINREP 2.8,EBA_FINREP_EBA_F_20.02_FINREP_2.8,FINREP_REF_F_20.02_REF_FINREP 2.8,"Mapping cubes, source cube: F_20.02, target cube: F_20.02_REF, version: FINREP 2.8"
ECB,M_F_04.09_REF_FINREP 2.9,F_04.09-->F_04.09_REF__FINREP 2.9,M_F_04.09_REF_FINREP 2.9,EBA_FINREP_EBA_F_04.09_FINREP_2.9,FINREP_REF_F_04.09_REF_FINREP 2.9,"Mapping cubes, source cube: F_04.09, target cube: F_04.09_REF, version: FINREP 2.9"
ECB,M_F_16.01_REF_FINREP 2.9,F_16.01-->F_16.01_REF__FINREP 2.9,M_F_16.01_REF_FINREP 2.9,EBA_FINREP_EBA_F_16.01_FINREP_2.9,FINREP_REF_F_16.01_REF_FINREP 2.9,"Mapping cubes, source cube: F_16.01, target cube: F_16.01_REF, version: FINREP 2.9"
ECB,M_F_44.03_REF_FINREP 2.9,F_44.03-->F_44.03_REF__FINREP 2.9,M_F_44.03_REF_FINREP 2.9,EBA_FINREP_EBA_F_44.03_FINREP_2.9,FINREP_REF_F_44.03_REF_FINREP 2.9,"Mapping cubes, source cube: F_44.03, target cube: F_44.03_REF, version: FINREP 2.9"
ECB,M_F_13.01_REF_FINREP 2.9,F_13.01-->F_13.01_REF__FINREP 2.9,M_F_13.01_REF_FINREP 2.9,EBA_FINREP_EBA_F_13.01_FINREP_2.9,FINREP_REF_F_13.01_REF_FINREP 2.9,"Mapping cubes, source cube: F_13.01, target cube: F_13.01_REF, version: FINREP 2.9"
ECB,M_F_04.03.1_REF_FINREP 2.9,F_04.03.1-->F_04.03.1_REF__FINREP 2.9,M_F_04.03.1_REF_FINREP 2.9,EBA_FINREP_EBA_F_04.03.1_FINREP_2.9,FINREP_REF_F_04.03.1_REF_FINREP 2.9,"Mapping cubes, source cube: F_04.03.1, target cube: F_04.03.1_REF, version: FINREP 2.9"
ECB,M_F_18.00.e_REF_FINREP 2.9,F_18.00.e-->F_18.00.e_REF__FINREP 2.9,M_F_18.00.e_REF_FINREP 2.9,EBA_FINREP_EBA_F_18.00.e_FINREP_2.9,FINREP_REF_F_18.00.e_REF_FINREP 2.9,"Mapping cubes, source cube: F_18.00.e, target cube: F_18.00.e_REF, version: FINREP 2.9"
ECB,M_F_18.00.a_REF_FINREP 2.9,F_18.00.a-->F_18.00.a_REF__FINREP 2.9,M_F_18.00.a_REF_FINREP 2.9,EBA_FINREP_EBA_F_18.00.a_FINREP_2.9,FINREP_REF_F_18.00.a_REF_FINREP 2.9,"Mapping cubes, source cube: F_18.00.a, target cube: F_18.00.a_REF, version: FINREP 2.9"
ECB,M_F_18.02.c_REF_FINREP 2.9,F_18.02.c-->F_18.02.c_REF__FINREP 2.9,M_F_18.02.c_REF_FINREP 2.9,EBA_FINREP_EBA_F_18.02.c_FINREP_2.9,FINREP_REF_F_18.02.c_REF_FINREP 2.9,"Mapping cubes, source cube: F_18.02.c, target cube: F_18.02.c_REF, version: FINREP 2.9"
ECB,M_F_25.01.b_REF_FINREP 2.9,F_25.01.b-->F_25.01.b_REF__FINREP 2.9,M_F_25.01.b_REF_FINREP 2.9,EBA_FINREP_EBA_F_25.01.b_FINREP_2.9,FINREP_REF_F_25.01.b_REF_FINREP 2.9,"Mapping cubes, source cube: F_25.01.b, target cube: F_25.01.b_REF, version: FINREP 2.9"
ECB,M_F_25.02.a_REF_FINREP 2.9,F_25.02.a-->F_25.02.a_REF__FINREP 2.9,M_F_25.02.a_REF_FINREP 2.9,EBA_FINREP_EBA_F_25.02.a_FINREP_2.9,FINREP_REF_F_25.02.a_REF_FINREP 2.9,"Mapping cubes, source cube: F_25.02.a, target cube: F_25.02.a_REF, version: FINREP 2.9"
ECB,M_F_19.00.d_REF_FINREP 2.9,F_19.00.d-->F_19.00.d_REF__FINREP 2.9,M_F_19.00.d_REF_FINREP 2.9,EBA_FINREP_EBA_F_19.00.d_FINREP_2.9,FINREP_REF_F_19.00.d_REF_FINREP 2.9,"Mapping cubes, source cube: F_19.00.d, target cube: F_19.00.d_REF, version: FINREP 2.9"
ECB,M_F_25.01.a_REF_FINREP 2.9,F_25.01.a-->F_25.01.a_REF__FINREP 2.9,M_F_25.01.a_REF_FINREP 2.9,EBA_FINREP_EBA_F_25.01.a_FINREP_2.9,FINREP_REF_F_25.01.a_REF_FINREP 2.9,"Mapping cubes, source cube: F_25.01.a, target cube: F_25.01.a_REF, version: FINREP 2.9"
ECB,M_F_19.00.c_REF_FINREP 2.9,F_19.00.c-->F_19.00.c_REF__FINREP 2.9,M_F_19.00.c_REF_FINREP 2.9,EBA_FINREP_EBA_F_19.00.c_FINREP_2.9,FINREP_REF_F_19.00.c_REF_FINREP 2.9,"Mapping cubes, source cube: F_19.00.c, target cube: F_19.00.c_REF, version: FINREP 2.9"
ECB,M_F_25.02.b_REF_FINREP 2.9,F_25.02.b-->F_25.02.b_REF__FINREP 2.9,M_F_25.02.b_REF_FINREP 2.9,EBA_FINREP_EBA_F_25.02.b_FINREP_2.9,FINREP_REF_F_25.02.b_REF_FINREP 2.9,"Mapping cubes, source cube: F_25.02.b, target cube: F_25.02.b_REF, version: FINREP 2.9"
ECB,M_F_08.01.a_REF_FINREP 2.9,F_08.01.a-->F_08.01.a_REF__FINREP 2.9,M_F_08.01.a_REF_FINREP 2.9,EBA_FINREP_EBA_F_08.01.a_FINREP_2.9,FINREP_REF_F_08.01.a_REF_FINREP 2.9,"Mapping cubes, source cube: F_08.01.a, target cube: F_08.01.a_REF, version: FINREP 2.9"
ECB,M_F_18.00.b_REF_FINREP 2.9,F_18.00.b-->F_18.00.b_REF__FINREP 2.9,M_F_18.00.b_REF_FINREP 2.9,EBA_FINREP_EBA_F_18.00.b_FINREP_2.9,FINREP_REF_F_18.00.b_REF_FINREP 2.9,"Mapping cubes, source cube: F_18.00.b, target cube: F_18.00.b_REF, version: FINREP 2.9"
ECB,M_F_04.04.1_REF_FINREP 2.9,F_04.04.1-->F_04.04.1_REF__FINREP 2.9,M_F_04.04.1_REF_FINREP 2.9,EBA_FINREP_EBA_F_04.04.1_FINREP_2.9,FINREP_REF_F_04.04.1_REF_FINREP 2.9,"Mapping cubes, source cube: F_04.04.1, target cube: F_04.04.1_REF, version: FINREP 2.9"
ECB,M_F_26.00.a_REF_FINREP 2.9,F_26.00.a-->F_26.00.a_REF__FINREP 2.9,M_F_26.00.a_REF_FINREP 2.9,EBA_FINREP_EBA_F_26.00.a_FINREP_2.9,FINREP_REF_F_26.00.a_REF_FINREP 2.9,"Mapping cubes, source cube: F_26.00.a, target cube: F_26.00.a_REF, version: FINREP 2.9"
ECB,M_F_12.01.b_REF_FINREP 2.8,F_12.01.b-->F_12.01.b_REF__FINREP 2.8,M_F_12.01.b_REF_FINREP 2.8,EBA_FINREP_EBA_F_12.01.b_FINREP_2.8,FINREP_REF_F_12.01.b_REF_FINREP 2.8,"Mapping cubes, source cube: F_12.01.b, target cube: F_12.01.b_REF, version: FINREP 2.8"
ECB,M_F_12.01.a_REF_FINREP 2.9,F_12.01.a-->F_12.01.a_REF__FINREP 2.9,M_F_12.01.a_REF_FINREP 2.9,EBA_FINREP_EBA_F_12.01.a_FINREP_2.9,FINREP_REF_F_12.01.a_REF_FINREP 2.9,"Mapping cubes, source cube: F_12.01.a, target cube: F_12.01.a_REF, version: FINREP 2.9"
ECB,M_F_19.00.a_REF_FINREP 2.9,F_19.00.a-->F_19.00.a_REF__FINREP 2.9,M_F_19.00.a_REF_FINREP 2.9,EBA_FINREP_EBA_F_19.00.a_FINREP_2.9,FINREP_REF_F_19.00.a_REF_FINREP 2.9,"Mapping cubes, source cube: F_19.00.a, target cube: F_19.00.a_REF, version: FINREP 2.9"
ECB,M_F_19.00.e_REF_FINREP 2.9,F_19.00.e-->F_19.00.e_REF__FINREP 2.9,M_F_19.00.e_REF_FINREP 2.9,EBA_FINREP_EBA_F_19.00.e_FINREP_2.9,FINREP_REF_F_19.00.e_REF_FINREP 2.9,"Mapping cubes, source cube: F_19.00.e, target cube: F_19.00.e_REF, version: FINREP 2.9"
ECB,M_F_25.03.a_REF_FINREP 2.9,F_25.03.a-->F_25.03.a_REF__FINREP 2.9,M_F_25.03.a_REF_FINREP 2.9,EBA_FINREP_EBA_F_25.03.a_FINREP_2.9,FINREP_REF_F_25.03.a_REF_FINREP 2.9,"Mapping cubes, source cube: F_25.03.a, target cube: F_25.03.a_REF, version: FINREP 2.9"
ECB,M_F_20.05.a_REF_FINREP 2.9,F_20.05.a-->F_20.05.a_REF__FINREP 2.9,M_F_20.05.a_REF_FINREP 2.9,EBA_FINREP_EBA_F_20.05.a_FINREP_2.9,FINREP_REF_F_20.05.a_REF_FINREP 2.9,"Mapping cubes, source cube: F_20.05.a, target cube: F_20.05.a_REF, version: FINREP 2.9"
ECB,M_F_25.01.c_REF_FINREP 2.9,F_25.01.c-->F_25.01.c_REF__FINREP 2.9,M_F_25.01.c_REF_FINREP 2.9,EBA_FINREP_EBA_F_25.01.c_FINREP_2.9,FINREP_REF_F_25.01.c_REF_FINREP 2.9,"Mapping cubes, source cube: F_25.01.c, target cube: F_25.01.c_REF, version: FINREP 2.9"
ECB,M_F_18.02.b_REF_FINREP 2.9,F_18.02.b-->F_18.02.b_REF__FINREP 2.9,M_F_18.02.b_REF_FINREP 2.9,EBA_FINREP_EBA_F_18.02.b_FINREP_2.9,FINREP_REF_F_18.02.b_REF_FINREP 2.9,"Mapping cubes, source cube: F_18.02.b, target cube: F_18.02.b_REF, version: FINREP 2.9"
ECB,M_F_18.00.d_REF_FINREP 2.9,F_18.00.d-->F_18.00.d_REF__FINREP 2.9,M_F_18.00.d_REF_FINREP 2.9,EBA_FINREP_EBA_F_18.00.d_FINREP_2.9,FINREP_REF_F_18.00.d_REF_FINREP 2.9,"Mapping cubes, source cube: F_18.00.d, target cube: F_18.00.d_REF, version: FINREP 2.9"
ECB,M_F_18.02.a_REF_FINREP 2.9,F_18.02.a-->F_18.02.a_REF__FINREP 2.9,M_F_18.02.a_REF_FINREP 2.9,EBA_FINREP_EBA_F_18.02.a_FINREP_2.9,FINREP_REF_F_18.02.a_REF_FINREP 2.9,"Mapping cubes, source cube: F_18.02.a, target cube: F_18.02.a_REF, version: FINREP 2.9"
ECB,M_F_18.00.c_REF_FINREP 2.9,F_18.00.c-->F_18.00.c_REF__FINREP 2.9,M_F_18.00.c_REF_FINREP 2.9,EBA_FINREP_EBA_F_18.00.c_FINREP_2.9,FINREP_REF_F_18.00.c_REF_FINREP 2.9,"Mapping cubes, source cube: F_18.00.c, target cube: F_18.00.c_REF, version: FINREP 2.9"
ECB,M_F_25.03.b_REF_FINREP 2.9,F_25.03.b-->F_25.03.b_REF__FINREP 2.9,M_F_25.03.b_REF_FINREP 2.9,EBA_FINREP_EBA_F_25.03.b_FINREP_2.9,FINREP_REF_F_25.03.b_REF_FINREP 2.9,"Mapping cubes, source cube: F_25.03.b, target cube: F_25.03.b_REF, version: FINREP 2.9"
ECB,M_F_19.00.b_REF_FINREP 2.9,F_19.00.b-->F_19.00.b_REF__FINREP 2.9,M_F_19.00.b_REF_FINREP 2.9,EBA_FINREP_EBA_F_19.00.b_FINREP_2.9,FINREP_REF_F_19.00.b_REF_FINREP 2.9,"Mapping cubes, source cube: F_19.00.b, target cube: F_19.00.b_REF, version: FINREP 2.9"
ECB,M_F_25.02.c_REF_FINREP 2.9,F_25.02.c-->F_25.02.c_REF__FINREP 2.9,M_F_25.02.c_REF_FINREP 2.9,EBA_FINREP_EBA_F_25.02.c_FINREP_2.9,FINREP_REF_F_25.02.c_REF_FINREP 2.9,"Mapping cubes, source cube: F_25.02.c, target cube: F_25.02.c_REF, version: FINREP 2.9"
ECB,M_F_25.01.d_REF_FINREP 2.9,F_25.01.d-->F_25.01.d_REF__FINREP 2.9,M_F_25.01.d_REF_FINREP 2.9,EBA_FINREP_EBA_F_25.01.d_FINREP_2.9,FINREP_REF_F_25.01.d_REF_FINREP 2.9,"Mapping cubes, source cube: F_25.01.d, target cube: F_25.01.d_REF, version: FINREP 2.9"
ECB,M_F_12.01.a_REF_FINREP 2.8,F_12.01.a-->F_12.01.a_REF__FINREP 2.8,M_F_12.01.a_REF_FINREP 2.8,EBA_FINREP_EBA_F_12.01.a_FINREP_2.8,FINREP_REF_F_12.01.a_REF_FINREP 2.8,"Mapping cubes, source cube: F_12.01.a, target cube: F_12.01.a_REF, version: FINREP 2.8"
ECB,M_F_26.00.b_REF_FINREP 2.9,F_26.00.b-->F_26.00.b_REF__FINREP 2.9,M_F_26.00.b_REF_FINREP 2.9,EBA_FINREP_EBA_F_26.00.b_FINREP_2.9,FINREP_REF_F_26.00.b_REF_FINREP 2.9,"Mapping cubes, source cube: F_26.00.b, target cube: F_26.00.b_REF, version: FINREP 2.9"
