MAINTENANCE_AGENCY_ID,DOMAIN_ID,NAME,IS_ENUMERATED,DESCRIPTION,DATA_TYPE,CODE,FACET_ID,IS_REFERENCE
ECB,TYP_PRDNTL_ITM,Type of prudential item,true,Type of prudential item,,TYP_PRDNTL_ITM,,true
ECB2,ECB2_DT,Date,false,,date,DT,,false
ECB2,ECB2_RL,Real,false,,number,RL,,false
ECB2,ECB2_STRNG,String,false,,string,STRNG,,false
ECB2,ECB2_MNTRY,Monetary,false,,number,MNTRY,,false
ECB2,ECB2_InSeTy,Instrument Seniority Type,true,,,InSeTy,,false
ECB2,ECB2_PrAsCl,Primary Asset Classification 2,true,,,PrAsCl,,false
ECB2,ECB2_AsSeTy,Asset Securitisation Type,true,,,AsSeTy,,false
ECB2,ECB2_SecSta,Security Status,true,,,SecSta,,false
ECB2,ECB2_CL_FREQ,Frequency code list,true,,,CL_FREQ,,false
ECB2,ECB2_CL_YES_NO,Yes/no code list,true,,,CL_YES_NO,,false
ECB2,ECB2_CL_SHS_NACE,Issuer NACE sector code list,true,,,CL_SHS_NACE,,false
ECB2,ECB2_CL_SHS_AREA,Area code list,true,,,CL_SHS_AREA,,false
ECB2,ECB2_CL_SHS_UNIT,Unit of measure code list,true,,,CL_SHS_UNIT,,false
ECB2,ECB2_CL_SHS_SECTOR,Institutional sector code list,true,,,CL_SHS_SECTOR,,false
ECB2,ECB2_CL_SHS_ID_TYPE,Group/Entity ID type,true,,,CL_SHS_ID_TYPE,,false
ECB2,ECB2_CL_SHS_CURRENCY,Currency code list,true,,,CL_SHS_CURRENCY,,false
ECB2,ECB2_CL_SHS_REP_BASIS,Reporting basis code list,true,,,CL_SHS_REP_BASIS,,false
ECB2,ECB2_CL_SHS_DFLT_STTS,Default status,true,Default status in accordance with Article 178 of Regulation (EU) No 575/2013,,CL_SHS_DFLT_STTS,,false
ECB2,ECB2_CL_SHS_ISSUER_RBG,Issuer is part of the reporting group code list,true,,,CL_SHS_ISSUER_RBG,,false
ECB2,ECB2_CL_SHS_EXPSR_CLSS,Exposure class as defined in accordance with Regulation (EU) No 575/2013,true,,,CL_SHS_EXPSR_CLSS,,false
ECB2,ECB2_CL_SHS_GROUP_TYPE,Group type code list,true,,,CL_SHS_GROUP_TYPE,,false
ECB2,ECB2_CL_SHS_INPUT_TYPE,Input type,true,,,CL_SHS_INPUT_TYPE,,false
ECB2,ECB2_CL_SHS_FRBRNC_STTS,Status of forbearance and renegotiation,true,,,CL_SHS_FRBRNC_STTS,,false
ECB2,ECB2_CL_SHS_ISSUER_AREA,Area code list,true,,,CL_SHS_ISSUER_AREA,,false
ECB2,ECB2_CL_SHS_SRC_ENCMBRNC,Source of Encumbrance,true,,,CL_SHS_SRC_ENCMBRNC,,false
ECB2,ECB2_CL_SHS_ORGANISATION,Number,true,,,CL_SHS_ORGANISATION,,false
ECB2,ECB2_CL_SHS_PRFRMNG_STTS,Performing status,true,,,CL_SHS_PRFRMNG_STTS,,false
ECB2,ECB2_CL_SHS_IMPRMNT_STTS,Imparement status,true,,,CL_SHS_IMPRMNT_STTS,,false
ECB2,ECB2_CL_SHS_ACC_STANDARD,Accounting Standard,true,,,CL_SHS_ACC_STANDARD,,false
ECB2,ECB2_CL_SHS_PRDNTL_PRTFL,Prudential portfolio,true,,,CL_SHS_PRDNTL_PRTFL,,false
ECB2,ECB2_CL_SHS_INSTR_ESA2010,CSDB instrument ESA 2010 class code list,true,,,CL_SHS_INSTR_ESA2010,,false
ECB2,ECB2_CL_SHS_ENTITY_STATUS,Entity status,true,,,CL_SHS_ENTITY_STATUS,,false
ECB2,ECB2_CL_SHS_ISSUER_ESA2010,CSDB issuer sector 2010 code list,true,,,CL_SHS_ISSUER_ESA2010,,false
ECB2,ECB2_CL_SHS_COLLATERAL_AREA,Collateral geographical location,true,,,CL_SHS_COLLATERAL_AREA,,false
ECB2,ECB2_CL_SHS_IDENTIFIER_TYPE,Identifier type code list,true,,,CL_SHS_IDENTIFIER_TYPE,,false
ECB2,ECB2_CL_SHS_ACCNTNG_CLSSFCTN,Accounting classification,true,,,CL_SHS_ACCNTNG_CLSSFCTN,,false
ECB2,ECB2_CL_SHS_APPRCH_PRDNTL_PRPSS,Approach for prudential purposes,true,,,CL_SHS_APPRCH_PRDNTL_PRPSS,,false
ECB2,ECB2_CL_SHS_IMPRMNT_ASSSSMNT_MTHD,Impairment assessment method,true,The method by which it is assessed if the instrument is subject to impairment in accord-ance with applied accounting standards. Collective and individual methods are distin-guished.,,CL_SHS_IMPRMNT_ASSSSMNT_MTHD,,false
ECB,RL,Real,false,Real,number,RL,,true
ECB,DT,Date,false,Date,date,DT,,true
ECB,BLN,Boolean,true,Boolean,string(20),BLN,,true
ECB,STTS,Status,true,Status,,STTS,,true
ECB,STRNG,String,false,String,string,STRNG,,true
ECB,INTGR,Integer,false,Integer,integer,INTGR,,true
ECB,MNTRY,Monetary,false,Monetary,number,MNTRY,,true
ECB,CRRNCY,Currencies,true,Currencies,string(20),CRRNCY,,true
ECB,FRQNCY,Frequency,true,Frequency,integer(6),FRQNCY,,true
ECB,TYP_ID,Group/Entity ID type,true,Group/Entity ID type,,TYP_ID,,true
ECB,GRP_TYP,Type of groups,true,Type of groups,,GRP_TYP,,true
ECB,CRDT_QLTY,Credit quality,true,Credit quality,integer(6),CRDT_QLTY,,true
ECB,SCRTY_LVL,Security level,true,Security level,,SCRTY_LVL,,true
ECB,SNRTY_TYP,Domain for instrument seniority type,true,Domain for instrument seniority type,integer(6),SNRTY_TYP,,true
ECB,TM_INTRVL,Time interval,true,Time interval,,TM_INTRVL,,true
ECB,EXPSR_CLSS,Exposure classification,true,Exposure classification,,EXPSR_CLSS,,true
ECB,RPRTNG_BSS,Reporting basis code list,true,Indicates the underlying reporting basis for the security,,RPRTNG_BSS,,true
ECB,GGRPHCL_ARS,Geographical Area,true,Geographical Area,string(20),GGRPHCL_ARS,,true
ECB,RCGNTN_STTS,Recognition,true,Recognition,integer(6),RCGNTN_STTS,,true
ECB,FRBRNC_STTS,Forbearance status,true,Forbearance status,integer(6),FRBRNC_STTS,,true
ECB,TYP_INSTRMNT,Type of instrument,true,Type of instrument,integer(6),TYP_INSTRMNT,,true
ECB,SRC_ENCMBRNC,Encumbrance,true,Encumbrance,integer(6),SRC_ENCMBRNC,,true
ECB,ECNMC_ACTVTY,Nomenclature of Economic Activities (NACE) codes,true,Nomenclature of Economic Activities (NACE) codes,string(20),ECNMC_ACTVTY,,true
ECB,PRDNTL_PRTFL,Prudential portfolio,true,Prudential portfolio,integer(6),PRDNTL_PRTFL,,true
ECB,ISSR_STTS_DTL,Domain for details on the issuer status,true,Domain for details on the issuer status,integer(6),ISSR_STTS_DTL,,true
ECB,INSTTTNL_SCTR,Institutional sectors,true,Institutional sectors,string(20),INSTTTNL_SCTR,,true
ECB,SCRTY_RNK_LVL,Security rank level,true,Security rank level,,SCRTY_RNK_LVL,,true
ECB,RPRTNG_INSTTTN,Source,true,Source,,RPRTNG_INSTTTN,,true
ECB,ACCNTNG_FRMWRK,Accounting framework,true,Accounting framework,integer(6),ACCNTNG_FRMWRK,,true
ECB,SCRTY_GRNT_LVL,Security Guarantee level,true,Security Guarantee level,,SCRTY_GRNT_LVL,,true
ECB,SCRTY_STTS_DTL,Domain for details on the security status,true,Domain for details on the security status,integer(6),SCRTY_STTS_DTL,,true
ECB,TYP_INSTRMNT_ID,Identifier type code list,true,The type of the code used to ,,TYP_INSTRMNT_ID,,true
ECB,TYP_ASST_SCRTSTN,Type of asset provided as security,true,Type of asset provided as security,,TYP_ASST_SCRTSTN,,true
ECB,ACCNTNG_CLSSFCTN,Accounting classification,true,Accounting classification,integer(6),ACCNTNG_CLSSFCTN,,true
ECB,PRMRY_ASST_CLSSFCTN,Classification of the instrument,true,Securities classified according to their asset type.,,PRMRY_ASST_CLSSFCTN,,true
ECB,APPRCH_PRDNTL_PRPSS,Approach for prudential purposes,true,Approach for prudential purposes,,APPRCH_PRDNTL_PRPSS,,true
ECB,INSTTTNL_SCTR_CNTRL,Institutional sector control,true,Institutional sector control,integer(6),INSTTTNL_SCTR_CNTRL,,true
ECB,IMPRMNT_ASSSSMNT_MTHD,Impairment assessment method,true,"The method by which the impairment is assessed, if the instrument is subject to impairment in accordance with applied accounting standards. Collective and individual methods are distinguished.",integer(6),IMPRMNT_ASSSSMNT_MTHD,,true
ECB,ERLY_RDMPTN_INCLSN_INDCTR,Domain for early redempions inclusion indicator,true,Domain for early redempions inclusion indicator,integer(6),ERLY_RDMPTN_INCLSN_INDCTR,,true
ECB,PRDNTL_CNS_SCP_ISSR_INDCTR,Domain for issuer part of the group for Prudential scope indicator,true,Domain for issuer part of the group for Prudential scope indicator,integer(6),PRDNTL_CNS_SCP_ISSR_INDCTR,,true
ECB,ACCNTG_CNS_SCP_ISSR_INDCTR,Domain for issuer part of the group for Accounting scope indicator,true,Domain for issuer part of the group for Accounting scope indicator,integer(6),ACCNTG_CNS_SCP_ISSR_INDCTR,,true
ECB,ACCRD_INTRST_MRKT_VL_INDCTR,Domain for accrued interests for market values indicator,true,Domain for accrued interests for market values indicator,integer(6),ACCRD_INTRST_MRKT_VL_INDCTR,,true
ECB,ACCNTNG_CNSLDTN_LVL,Accounting consolidation level,true,Accounting consolidation level,String(50),ACCNTNG_CNSLDTN_LVL,,true
ECB,ACCNTNG_HDG_INDCTR,Accounting hedge indicator,true,Accounting hedge indicator,,ACCNTNG_HDG_INDCTR,,true
ECB,APPRCH_CRDT_QLTY_STTS,Assessment approach for credit quality status,true,Assessment approach for credit quality status,,APPRCH_CRDT_QLTY_STTS,,true
ECB,ARRNGMNT_TYP,Arrangement type,true,Arrangement type,,ARRNGMNT_TYP,,true
ECB,ASST_ENCMBRNC_SRC_INDCTR,Asset encumbrance source indicator,true,Asset encumbrance source indicator,String(50),ASST_ENCMBRNC_SRC_INDCTR,,true
ECB,ASST_PL_INSTRMNT_ASSGNMNT_TYP,Asset pool Instrument assignment type,true,Asset pool Instrument assignment type,String(50),ASST_PL_INSTRMNT_ASSGNMNT_TYP,,true
ECB,ASST_PL_TYP,Asset pool (subject to securitisation and other credit transfer) type,true,,,ASST_PL_TYP,,true
ECB,CLLTRL_NN_FNNCL_ASST_ASSGNMNT_TYP,Collateral non-financial asset assignment type,true,,,CLLTRL_NN_FNNCL_ASST_ASSGNMNT_TYP,,true
ECB,CLLTRL_RL_TYP,Collateral role type,true,Collateral role type,String(50),CLLTRL_RL_TYP,,true
ECB,CMMDTY_TYP_FRTB,Commodity type for FRTB,true,,,CMMDTY_TYP_FRTB,,true
ECB,CRDT_FCLTY_ENTTY_RL_ASSGNMNT_TYP,Credit facility Entity role assignment type,true,,,CRDT_FCLTY_ENTTY_RL_ASSGNMNT_TYP,,true
ECB,CSR_CRV_TYP,Credit spread risk curve type,true,,,CSR_CRV_TYP,,true
ECB,CST_BSD_MTHD_LCM_INDCTR,At cost based method or Lower of cost or market (LOCOM) indicator,true,At cost based method or Lower of cost or market (LOCOM) indicator,String(50),CST_BSD_MTHD_LCM_INDCTR,,true
ECB,DBT_FNNCNG_ANCRDT_INDCTR,Debt financing according to AnaCredit indicator,true,Debt financing according to AnaCredit indicator,,DBT_FNNCNG_ANCRDT_INDCTR,,true
ECB,DMSTC_ACTVT_INDCTR,Domestic activities indicator,true,,,DMSTC_ACTVT_INDCTR,,true
ECB,ECAI_ECA,ECAI/ECA,true,ECAI/ECA,,ECAI_ECA,,true
ECB,ECNMY,Economy,true,,,ECNMY,,true
ECB,ELGBL_GRNT_INDCTR,Eligible as guarantee indicator,true,Eligible as guarantee indicator,,ELGBL_GRNT_INDCTR,,true
ECB,ENTRPRS_INDCTR,Enterprise indicator,true,Enterprise indicator,,ENTRPRS_INDCTR,,true
ECB,EQUTY_FCTR_TYP,Equity factor type,true,,,EQUTY_FCTR_TYP,,true
ECB,EXCHNG_TRDBL_DRVTV_PRTCN_ARRNGMNT_ASSGNMNT_TYP,Exchange tradable derivative Protection arrangement assignment type,true,Exchange tradable derivative Protection arrangement assignment type,String(50),EXCHNG_TRDBL_DRVTV_PRTCN_ARRNGMNT_ASSGNMNT_TYP,,true
ECB,EXCHNG_TRDBL_DRVTV_PSTN_RL_TYP,Exchange tradable derivative position role type,true,Exchange tradable derivative position role type,,EXCHNG_TRDBL_DRVTV_PSTN_RL_TYP,,true
ECB,FLD_NN_PRFRMNG_EXT_CRTR_INDCTR,Failed to meet the non-performing exit criteria indicator,true,,,FLD_NN_PRFRMNG_EXT_CRTR_INDCTR,,true
ECB,FNNCL_CNTRCT_TYP,Financial contract type,true,Financial contract type,,FNNCL_CNTRCT_TYP,,true
ECB,FRBRNC_MSR_GRNTD_DRNG_RFRNC_PRD,Forbearance measure granted during reference period,true,,,FRBRNC_MSR_GRNTD_DRNG_RFRNC_PRD,,true
ECB,FRTB_RSK_MSR_TYP,Fundamental review of the trading book standard approach risk measure type,true,,,FRTB_RSK_MSR_TYP,,true
ECB,GIRR_RSK_FCTR,GIRR risk factor,true,,,GIRR_RSK_FCTR,,true
ECB,GRP_KY_MNGMNT_PRSNNL_ASSGNMNT_TYP,Group Key management personnel assignment type,true,Group Key management personnel assignment type,String(50),GRP_KY_MNGMNT_PRSNNL_ASSGNMNT_TYP,,true
ECB,GRP_RL_TYP,Group role type,true,Group role type,,GRP_RL_TYP,,true
ECB,HDGD_PRTFL_ASST_LBLTY_INDCTR,Hedged portfolio asset or liability indicator,true,,,HDGD_PRTFL_ASST_LBLTY_INDCTR,,true
ECB,IMMDT_PRNT_ANCRDT_INDCTR,Immediate parent according to AnaCredit indicator,true,Immediate parent according to AnaCredit indicator,,IMMDT_PRNT_ANCRDT_INDCTR,,true
ECB,INSTRMNT_CLLTRL_ASSGNMNT_TYP,Instrument Collateral assignment type,true,Instrument Collateral assignment type,,INSTRMNT_CLLTRL_ASSGNMNT_TYP,,true
ECB,INSTRMNT_ENTTY_RL_ASSGNMNT_TYP,Instrument Entity role assignment type,true,,,INSTRMNT_ENTTY_RL_ASSGNMNT_TYP,,true
ECB,INSTRMNT_PRTCTN_ARRNGMNT_ASSGNMNT_TYP,Instrument Protection arrangement assignment type,true,Instrument Protection arrangement assignment type,String(50),INSTRMNT_PRTCTN_ARRNGMNT_ASSGNMNT_TYP,,true
ECB,LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_TYP,Long security position Prudentiial Portfolio assignment Accounting classification for financial assets assignment type,true,Long security position Prudentiial Portfolio assignment Accounting classification for financial assets assignment type,,LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_TYP,,true
ECB,LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_TYP,Long security position Prudential portfolio assignment type,true,Long security position Prudential portfolio assignment type,,LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_TYP,,true
ECB,MLTPL_FRBRNC_MSR_INDCTR,Multiple forbearance measures in place indicator,true,,,MLTPL_FRBRNC_MSR_INDCTR,,true
ECB,MRKT_CP,Market capitalisation indicator,true,,,MRKT_CP,,true
ECB,MSTR_AGRMNT_ENTTY_RL_ASSGNMNT_TYP,Master agreement Entity role type,true,,,MSTR_AGRMNT_ENTTY_RL_ASSGNMNT_TYP,,true
ECB,MSTR_AGRMNT_TYP,Master agreement type,true,,,MSTR_AGRMNT_TYP,,true
ECB,OTC_DRVTV_HDG_ACCNTNG_STNDRD_TYP,Over the counter (OTC) Derivative hedge accounting standard type,true,Over the counter (OTC) Derivative hedge accounting standard type,,OTC_DRVTV_HDG_ACCNTNG_STNDRD_TYP,,true
ECB,OVRDRFT_INDCTR,Overdraft indicator,true,Overdraft indicator,String(50),OVRDRFT_INDCTR,,true
ECB,OWN_CMPNY_INVSTMNT_INDCTR,Own company investment indicator,true,"Determines if the investment in the Security position is in a subsidiary, joint venture or associate of the own company or not.",,OWN_CMPNY_INVSTMNT_INDCTR,,true
ECB,PLLNG_EFFCT_INDCTR,Pulling effect indicator,true,Pulling effect indicator,,PLLNG_EFFCT_INDCTR,,true
ECB,PRFRMNG_FRBRN_EXPSR_PRBTN_RCLD_NN_PRFRMNG_INDCTR,Performing forborne exposure under probation reclassified from non-performing indicator,true,,,PRFRMNG_FRBRN_EXPSR_PRBTN_RCLD_NN_PRFRMNG_INDCTR,,true
ECB,PRMRY_PRTCTN_PRVDR_INDCTR,Primary protection provider indicator,true,Primary protection provider indicator,,PRMRY_PRTCTN_PRVDR_INDCTR,,true
ECB,PRTCTN_ARRNGMNT_RL_TYP,Protection arrangement role type,true,Protection arrangement role type,String(50),PRTCTN_ARRNGMNT_RL_TYP,,true
ECB,PRTCTN_ARRNGMNT_RS_INDCTR,Protection arrangement instrument reuse indicator,true,Protection arrangement instrument reuse indicator,String(50),PRTCTN_ARRNGMNT_RS_INDCTR,,true
ECB,PRTY_CD_TYP,Party code type,true,Party code type,,PRTY_CD_TYP,,true
ECB,PRTY_TYP,Party type,true,Party type,,PRTY_TYP,,true
ECB,PRTY_TYP_ADDRSS,Party type by address,true,Party type by address,,PRTY_TYP_ADDRSS,,true
ECB,RPRCHS_AGRMNT_TYP,Repurchase agreement component type,true,Repurchase agreement component type,,RPRCHS_AGRMNT_TYP,,true
