MAINTENANCE_AGENCY_ID,MEMBER_HIERARCHY_ID,CODE,DOMAIN_ID,NAME,DESCRIPTION,IS_MAIN_HIERARCHY
ECB,PSTN_INSTRMNT_HIER_1,1,PSTN_INSTRMNT,Position in the instrument main hierarchy,"Hierarchical structure of the member Seller, Buyer (4)",true
ECB,TYP_MRKT_HIER_2,2,TYP_MRKT,"Listed, Non-listed hierarchy","Hierarchical structure of the member Listed, Non-listed (3)",false
ECB,TYP_MRKT_HIER_3,3,TYP_MRKT,"OTC, Organised market hierarchy","Hierarchical structure of the member OTC, Organised market (7)",false
ECB,RLTNSHP_HIER_1,1,RLTNSHP,All entities main hierarchy,Hierarchical structure of the member All entities (33) Main,true
ECB,RLTNSHP_HIER_2,2,RLTNSHP,"Subsidiaries, Joint ventures, Associates hierarchy","Hierarchical structure of the member Subsidiaries, Joint ventures, Associates (20)",false
ECB,RLTNSHP_HIER_3,3,RLTNSHP,All entities secondary hierarchy,Hierarchical structure of the member All entities (33) Secondary,false
ECB,RLTNSHP_HIER_4,4,RLTNSHP,Parent and parent entities with joint control or significant hierarchy,Hierarchical structure of the member Parent and parent entities with joint control or significant (15),false
ECB,RLTNSHP_HIER_5,5,RLTNSHP,All entities secondary hierarchy (2),Hierarchical structure of the member All entities (33) Secondary (2),false
ECB,AE_ITM_HIER_1,1,AE_ITM,"Flat hierarchy - Assets, own debt securities other than ABSs and covered bonds hierarchy","Hierarchical structure of the Member Assets, own debt securities other than ABSs and covered bonds (65)",false
ECB,AE_ITM_HIER_2,2,AE_ITM,"Assets, Collateral received and Own debt securities issued other than covered bonds and ABSs hierarchy 1","Hierarchical structure of the Member Assets, Collateral received and Own debt securities issued other than covered bonds and ABSs (100) 1",false
ECB,AE_ITM_HIER_3,3,AE_ITM,"Assets, Collateral received and Own debt securities issued other than covered bonds and ABSs hierarchy 2","Hierarchical structure of the Member Assets, Collateral received and Own debt securities issued other than covered bonds and ABSs (100) 2",false
ECB,AE_ITM_HIER_4,4,AE_ITM,"Matching liability of liabilities, off-balance sheet items, securities lent and not matching liability hierarchy","Hierarchical structure of the Member Matching liability of liabilities, off-balance sheet items, securities lent and not matching liability (250)",false
ECB,AE_ITM_HIER_5,5,AE_ITM,Own debt securities issued hierarchy,Hierarchical structure of the Member Own debt securities issued (40),false
ECB,LVL_RPRTNG_HIER_1,1,LVL_RPRTNG,Hierarchy for Level of reporting,Hierarchy for Level of reporting,true
ECB,EXPNS_TYP_HIER_1,1,EXPNS_TYP,Hierarchy for Type of expense,Hierarchy for Type of expense,true
