MEMBER_HIERARCHY_ID,MEMBER_ID,LEVEL,PARENT_MEMBER_ID,COMPARATOR,OPERATOR,VALID_FROM,VALID_TO
AE_ITM_HIER_1,AE_ITM_65,1,,=,,2019-05-01,9999-12-31
AE_ITM_HIER_1,AE_ITM_30,2,AE_ITM_65,,+,2019-05-01,9999-12-31
AE_ITM_HIER_1,AE_ITM_50,2,AE_ITM_65,,+,2019-05-01,9999-12-31
AE_ITM_HIER_2,AE_ITM_100,1,,=,,2019-05-01,9999-12-31
AE_ITM_HIER_2,AE_ITM_30,2,AE_ITM_100,,+,2019-05-01,9999-12-31
AE_ITM_HIER_2,AE_ITM_70,2,AE_ITM_100,=,+,2019-05-01,9999-12-31
AE_ITM_HIER_2,AE_ITM_50,3,AE_ITM_70,,+,2019-05-01,9999-12-31
AE_ITM_HIER_2,AE_ITM_20,3,AE_ITM_70,,+,2019-05-01,9999-12-31
AE_ITM_HIER_3,AE_ITM_100,1,,=,,2019-05-01,9999-12-31
AE_ITM_HIER_3,AE_ITM_50,2,AE_ITM_100,,+,2019-05-01,9999-12-31
AE_ITM_HIER_3,AE_ITM_55,2,AE_ITM_100,=,+,2019-05-01,9999-12-31
AE_ITM_HIER_3,AE_ITM_20,3,AE_ITM_55,,+,2019-05-01,9999-12-31
AE_ITM_HIER_3,AE_ITM_30,3,AE_ITM_55,,+,2019-05-01,9999-12-31
AE_ITM_HIER_4,AE_ITM_250,1,,=,,2019-05-01,9999-12-31
AE_ITM_HIER_4,AE_ITM_110,2,AE_ITM_250,,+,2019-05-01,9999-12-31
AE_ITM_HIER_4,AE_ITM_240,2,AE_ITM_250,=,+,2019-05-01,9999-12-31
AE_ITM_HIER_4,AE_ITM_130,3,AE_ITM_240,,+,2019-05-01,9999-12-31
AE_ITM_HIER_4,AE_ITM_220,3,AE_ITM_240,=,+,2019-05-01,9999-12-31
AE_ITM_HIER_4,AE_ITM_120,4,AE_ITM_220,,+,2019-05-01,9999-12-31
AE_ITM_HIER_4,AE_ITM_230,4,AE_ITM_220,=,+,2019-05-01,9999-12-31
AE_ITM_HIER_4,AE_ITM_140,5,AE_ITM_230,,+,2019-05-01,9999-12-31
AE_ITM_HIER_4,AE_ITM_150,5,AE_ITM_230,,+,2019-05-01,9999-12-31
AE_ITM_HIER_4,AE_ITM_160,4,AE_ITM_220,,+,2019-05-01,9999-12-31
AE_ITM_HIER_5,AE_ITM_40,1,,=,,2019-05-01,9999-12-31
AE_ITM_HIER_5,AE_ITM_10,2,AE_ITM_40,=,+,2019-05-01,9999-12-31
AE_ITM_HIER_5,AE_ITM_11,3,AE_ITM_10,,+,2019-05-01,9999-12-31
AE_ITM_HIER_5,AE_ITM_12,3,AE_ITM_10,,+,2019-05-01,9999-12-31
AE_ITM_HIER_5,AE_ITM_30,2,AE_ITM_40,,+,2019-05-01,9999-12-31
PSTN_INSTRMNT_HIER_1,PSTN_INSTRMNT_4,1,,=,,1900-01-01,9999-12-31
PSTN_INSTRMNT_HIER_1,PSTN_INSTRMNT_2,2,PSTN_INSTRMNT_4,,+,1900-01-01,9999-12-31
PSTN_INSTRMNT_HIER_1,PSTN_INSTRMNT_1,2,PSTN_INSTRMNT_4,,+,1900-01-01,9999-12-31
TYP_MRKT_HIER_2,TYP_MRKT_3,1,,=,,1900-01-01,9999-12-31
TYP_MRKT_HIER_2,TYP_MRKT_31,2,TYP_MRKT_3,,+,1900-01-01,9999-12-31
TYP_MRKT_HIER_2,TYP_MRKT_10,2,TYP_MRKT_3,,+,1900-01-01,9999-12-31
TYP_MRKT_HIER_3,TYP_MRKT_7,1,,=,,1900-01-01,9999-12-31
TYP_MRKT_HIER_3,TYP_MRKT_1,2,TYP_MRKT_7,,+,1900-01-01,9999-12-31
TYP_MRKT_HIER_3,TYP_MRKT_2,2,TYP_MRKT_7,,+,1900-01-01,9999-12-31
RLTNSHP_HIER_1,RLTNSHP_33,1,,=,,2019-05-01,9999-12-31
RLTNSHP_HIER_1,RLTNSHP_1,2,RLTNSHP_33,,+,2019-05-01,9999-12-31
RLTNSHP_HIER_1,RLTNSHP_2,2,RLTNSHP_33,,+,2019-05-01,9999-12-31
RLTNSHP_HIER_1,RLTNSHP_3,2,RLTNSHP_33,,+,2019-05-01,9999-12-31
RLTNSHP_HIER_1,RLTNSHP_4,2,RLTNSHP_33,,+,2019-05-01,9999-12-31
RLTNSHP_HIER_1,RLTNSHP_5,2,RLTNSHP_33,,+,2019-05-01,9999-12-31
RLTNSHP_HIER_1,RLTNSHP_6,2,RLTNSHP_33,,+,2019-05-01,9999-12-31
RLTNSHP_HIER_1,RLTNSHP_7,2,RLTNSHP_33,,+,2019-05-01,9999-12-31
RLTNSHP_HIER_2,RLTNSHP_20,1,,=,,2019-05-01,9999-12-31
RLTNSHP_HIER_2,RLTNSHP_3,2,RLTNSHP_20,,+,2019-05-01,9999-12-31
RLTNSHP_HIER_2,RLTNSHP_13,2,RLTNSHP_20,=,+,2019-05-01,9999-12-31
RLTNSHP_HIER_2,RLTNSHP_9,3,RLTNSHP_13,,+,2019-05-01,9999-12-31
