MAINTENANCE_AGENCY_ID,MEMBER_MAPPING_ID,NAME,CODE
ECB,SHS_TPH,Mapping of Third Party Holdings Relevance for Aggregation for the template SHS,SHS_TPH
ECB,SHS_ESCB,Mapping of ESCB for the template SHS,SHS_ESCB
ECB,SHS_FREQ,Mapping of Frequency for the template SHS,SHS_FREQ
ECB,SHS_EAPLUS,Mapping of EA plus for the template SHS,SHS_EAPLUS
ECB,SHS_REF_AREA,Mapping of Reporting Country for the template SHS,SHS_REF_AREA
ECB,SHS_NOM_CURR,Mapping of Nominal currency for the template SHS,SHS_NOM_CURR
ECB,SHS_DEBT_TYPE,Mapping of Debt type for the template SHS,SHS_DEBT_TYPE
ECB,SHS_EARLY_RED,Mapping of Early redemptions included for the template SHS,SHS_EARLY_RED
ECB,SHS_GROUP_AREA,Mapping of Country of residence of the group for the template SHS,SHS_GROUP_AREA
ECB,SHS_GROUP_TYPE,Mapping of Group type for the template SHS,SHS_GROUP_TYPE
ECB,SHS_EXPSR_CLSS,Mapping of Exposure class as defined in accordance with Regulation (EU) No 575/2013 for the template SHS,SHS_EXPSR_CLSS
ECB,SHS_IS_IN_EADB,Mapping of Is in EADB for the template SHS,SHS_IS_IN_EADB
ECB,SHS_FRBRNC_STTS,Mapping of 	Status of forbearance and renegotiation for the template SHS,SHS_FRBRNC_STTS
ECB,SHS_COUPON_TYPE,Mapping of Coupon type for the template SHS,SHS_COUPON_TYPE
ECB,SHS_ENTITY_AREA,Mapping of Country of residency of the entity for the template SHS,SHS_ENTITY_AREA
ECB,SHS_HOLDER_AREA,Mapping of Holder Country for the template SHS,SHS_HOLDER_AREA
ECB,SHS_INSTR_CLASS,Mapping of Instrument ESA 2010 class for the template SHS,SHS_INSTR_CLASS
ECB,SHS_IMPRMNT_STTS,Mapping of Imparement status for the template SHS,SHS_IMPRMNT_STTS
ECB,SHS_PRFRMNG_STTS,Mapping of Performing status for the template SHS,SHS_PRFRMNG_STTS
ECB,SHS_SRC_ENCMBRNC,Mapping of Source of encumbrance for the template SHS,SHS_SRC_ENCMBRNC
ECB,SHS_REP_NOM_CURR,Mapping of Reported Nominal currency for the template SHS,SHS_REP_NOM_CURR
ECB,SHS_PRDNTL_PRTFL,Mapping of Prudential portfolio for the template SHS,SHS_PRDNTL_PRTFL
ECB,SHS_UNIT_MEASURE,Mapping of Unit for the template SHS,SHS_UNIT_MEASURE
ECB,SHS_GROUP_SECTOR,Mapping of ESA 2010 Sector of the head of Group for the template SHS,SHS_GROUP_SECTOR
ECB,SHS_ACCR_INTR_MV,Mapping of Accrued interests for market values for the template SHS,SHS_ACCR_INTR_MV
ECB,SHS_ENTITY_SECTOR,Mapping of ESA 2010 sector of the entity for the template SHS,SHS_ENTITY_SECTOR
ECB,SHS_COMPILING_ORG,Mapping of Reporting institution code for the template SHS,SHS_COMPILING_ORG
ECB,SHS_ENTITY_STATUS,Mapping of Entity status for the template SHS,SHS_ENTITY_STATUS
ECB,SHS_HOLDER_SECTOR,Mapping of Holder Sector for the template SHS,SHS_HOLDER_SECTOR
ECB,SHS_ISSUER_SECTOR,Mapping of Issuer ESA 2010 sector for the template SHS,SHS_ISSUER_SECTOR
ECB,SHS_GROUP_ID_TYPE,Mapping of Group ID type for the template SHS,SHS_GROUP_ID_TYPE
ECB,SHS_ENTITY_ID_TYPE,Mapping of Entity ID type  for the template SHS,SHS_ENTITY_ID_TYPE
ECB,SHS_ISSUER_ID_TYPE,Mapping of Issuer ID type for the template SHS,SHS_ISSUER_ID_TYPE
ECB,SHS_DFLT_STTS_ISSR,Mapping of Default status of the issuer for the template SHS,SHS_DFLT_STTS_ISSR
ECB,SHS_SENIORITY_TYPE,Mapping of Instrument seniority type for the template SHS,SHS_SENIORITY_TYPE
ECB,SHS_ISSUER_COUNTRY,Mapping of Issuer country for the template SHS,SHS_ISSUER_COUNTRY
ECB,SHS_IDENTIFIER_TYPE,Mapping of Identifier type for the template SHS,SHS_IDENTIFIER_TYPE
ECB,SHS_UNIT_MEASURE_NV,Mapping of Unit for Nominal Value for the template SHS,SHS_UNIT_MEASURE_NV
ECB,SHS_REPORTING_BASIS,Mapping of Reporting basis  for the template SHS,SHS_REPORTING_BASIS
ECB,SHS_QUOTATION_BASIS,Mapping of Quotation basis for the template SHS,SHS_QUOTATION_BASIS
ECB,SHS_COLLATERAL_AREA,Mapping of Collateral geographical location for the template SHS,SHS_COLLATERAL_AREA
ECB,SHS_SECURITY_STATUS,Mapping of Security status for the template SHS,SHS_SECURITY_STATUS
ECB,SHS_ORIG_MAT_BRACKET,Mapping of Original maturity bracket (category) for the template SHS,SHS_ORIG_MAT_BRACKET
ECB,SHS_PRICE_VALUE_TYPE,Mapping of Price value type for the template SHS,SHS_PRICE_VALUE_TYPE
ECB,SHS_LAST_COUPON_FREQ,Mapping of Last coupon date for the template SHS,SHS_LAST_COUPON_FREQ
ECB,SHS_ACCNTNG_CLSSFCTN,Mapping of Accounting classification of instruments for the template SHS,SHS_ACCNTNG_CLSSFCTN
ECB,SHS_RESID_MAT_BRACKET,Mapping of Residual maturity bracket (category) for the template SHS,SHS_RESID_MAT_BRACKET
ECB,SHS_PRICE_VALUE_BASIS,Mapping of Price value basis for the template SHS,SHS_PRICE_VALUE_BASIS
ECB,SHS_GUARANTOR_ID_TYPE,Mapping of Guarantor ID type for the template SHS,SHS_GUARANTOR_ID_TYPE
ECB,SHS_DIVIDEND_CURRENCY,Mapping of Dividend currency for the template SHS,SHS_DIVIDEND_CURRENCY
ECB,SHS_ISSUER_NACE_SECTOR,Mapping of Issuer NACE sector for the template SHS,SHS_ISSUER_NACE_SECTOR
ECB,SHS_GROUP_ACC_STANDARD,Mapping of Accounting Standard of the Group for the template SHS,SHS_GROUP_ACC_STANDARD
ECB,SHS_DFLT_STTS_INSTRMNT,Mapping of Default status of the instrument for the template SHS,SHS_DFLT_STTS_INSTRMNT
ECB,SHS_PRIMARY_ASSET_CLASS,Mapping of Primary asset classification for the template SHS,SHS_PRIMARY_ASSET_CLASS
ECB,SHS_ENTITY_ACC_STANDARD,Mapping of Accounting Standard of the entity for the template SHS,SHS_ENTITY_ACC_STANDARD
ECB,SHS_FUNCTIONAL_CATEGORY,Mapping of Function for the template SHS,SHS_FUNCTIONAL_CATEGORY
ECB,SHS_APPRCH_PRDNTL_PRPSS,Mapping of Approach for prudential purposes for the template SHS,SHS_APPRCH_PRDNTL_PRPSS
ECB,SHS_DIVIDEND_AMOUNT_TYPE,Mapping of Dividend amount type for the template SHS,SHS_DIVIDEND_AMOUNT_TYPE
ECB,SHS_IMPRMNT_ASSSSMNT_MTHD,Mapping of Impairment assessment method for the template SHS,SHS_IMPRMNT_ASSSSMNT_MTHD
ECB,SHS_INTRA_GROUP_ACC_SCOPE,Mapping of Issuer is part of the Group (accounting scope) for the template SHS,SHS_INTRA_GROUP_ACC_SCOPE
ECB,SHS_INTRA_GROUP_PRUD_SCOPE,Mapping of Issuer is part of the Group (prudential scope) for the template SHS,SHS_INTRA_GROUP_PRUD_SCOPE
ECB,SHS_IMMEDIATE_PARENT_ID_TYPE,Mapping of Immediate parent ID type for the template SHS,SHS_IMMEDIATE_PARENT_ID_TYPE
