MAINTENANCE_AGENCY_ID,SUBDOMAIN_ID,NAME,DOMAIN_ID,IS_LISTED,CODE,FACET_ID,DESCRIPTION,IS_NATURAL
ECB,RLTNSHP_55298_REF_GRP_STRCTR_RLTNSHP,Subdomain for GRP_STRCTR_RLTNSHP of the Combination 55298_REF,RLTNSHP,true,RLTNSHP_55298_REF_GRP_STRCTR_RLTNSHP,,,false
ECB,CNSLDTN_MTHD_132500_REF_TYP_ACCNTNG_CNSLDTN,Subdomain for TYP_ACCNTNG_CNSLDTN of the Combination 132500_REF,CNSLDTN_MTHD,true,CNSLDTN_MTHD_132500_REF_TYP_ACCNTNG_CNSLDTN,,,false
ECB,CNSLDTN_MTHD_132501_REF_TYP_PRDNTL_CNSLDTN,Subdomain for TYP_PRDNTL_CNSLDTN of the Combination 132501_REF,CNSLDTN_MTHD,true,CNSLDTN_MTHD_132501_REF_TYP_PRDNTL_CNSLDTN,,,false
ECB,ECNMC_ACTVTY_55385_REF_ECNMC_ACTVTY_INVST,Subdomain for ECNMC_ACTVTY_INVST of the Combination 55385_REF,ECNMC_ACTVTY,true,ECNMC_ACTVTY_55385_REF_ECNMC_ACTVTY_INVST,,,false
ECB,GGRPHCL_ARS_410212_REF_CNTRY,Subdomain for CNTRY of the Combination 410212_REF,GGRPHCL_ARS,true,GGRPHCL_ARS_410212_REF_CNTRY,,,false
ECB2,ECB2_DT,Generic subdomain date,ECB2_DT,false,DT,,,false
ECB2,ECB2_RL,Generic subdomain real,ECB2_RL,false,RL,,,false
ECB2,ECB2_STRNG,Generic subdomain strings,ECB2_STRNG,false,STRNG,,,false
ECB2,ECB2_MNTRY,Generic subdomain monetary,ECB2_MNTRY,false,MNTRY,,,false
ECB2,ECB2_AsSeTy,Subdomain for domain AsSeTy.,ECB2_AsSeTy,true,AsSeTy,,,false
ECB2,ECB2_CL_YES_NO,Subdomain for domain CL_YES_NO for boolean,ECB2_CL_YES_NO,true,CL_YES_NO,,,false
ECB2,ECB2_CL_G_FREQ,Subdomain for domain CL_FREQ in SHS Group,ECB2_CL_FREQ,true,CL_G_FREQ,,,false
