TABLE_ID,NAME,CODE,DESCRIPTION,MAINTENANCE_AGENCY_ID,VERSION,VALID_FROM,VALID_TO
EBA_FINREP_EBA_F_18.00.c_FINREP_3.0-Ind,F 18.00.c,F_18.00.c,F 18.00.c Information on performing and non-performing exposures (III),EBA,FINREP 3.0-Ind,2021-06-30,9999-12-31
EBA_FINREP_EBA_F_06.01_FINREP_3.0-Ind,F 06.01,F_06.01,"F 06.01 Breakdown of loans and advances other than held for trading, trading or held for sale assets to non-financial corporations by NACE codes",EBA,FINREP 3.0-Ind,2021-06-30,9999-12-31
EBA_FINREP_EBA_F_07.02_FINREP_3.0-Ind,F 07.02,F_07.02,F 07.02 Financial assets subject to impairment that are past due under national GAAP,EBA,FINREP 3.0-Ind,2021-06-30,9999-12-31
EBA_FINREP_EBA_F_08.01.a_FINREP_3.0-Ind,F 08.01.a,F_08.01.a,F 08.01.a Breakdown of financial liabilities by product and by counterparty (a),EBA,FINREP 3.0-Ind,2021-06-30,9999-12-31
EBA_FINREP_EBA_F_08.01.b_FINREP_3.0-Ind,F 08.01.b,F_08.01.b,F 08.01.b Breakdown of financial liabilities by product and by counterparty (b),EBA,FINREP 3.0-Ind,2021-06-30,9999-12-31
EBA_FINREP_EBA_F_08.02_FINREP_3.0-Ind,F 08.02,F_08.02,F 08.02 Subordinated liabilities,EBA,FINREP 3.0-Ind,2021-06-30,9999-12-31
EBA_FINREP_EBA_F_09.01_FINREP_3.0-Ind,F 09.01,F_09.01,"F 09.01 Off-balance sheet exposures under national GAAP: Loan commitments, financial guarantees and other commitments given",EBA,FINREP 3.0-Ind,2021-06-30,9999-12-31
EBA_FINREP_EBA_F_09.02_FINREP_3.0-Ind,F 09.02,F_09.02,"F 09.02 Loan commitments, financial guarantees and other commitments received",EBA,FINREP 3.0-Ind,2021-06-30,9999-12-31
EBA_FINREP_EBA_F_10.00_FINREP_3.0-Ind,F 10.00,F_10.00,F 10.00 Derivatives: Trading and economic hedges,EBA,FINREP 3.0-Ind,2021-06-30,9999-12-31
EBA_FINREP_EBA_F_11.01_FINREP_3.0-Ind,F 11.01,F_11.01,F 11.01 Derivatives - Hedge accounting: Breakdown by type of risk and type of hedge,EBA,FINREP 3.0-Ind,2021-06-30,9999-12-31
EBA_FINREP_EBA_F_11.02_FINREP_3.0-Ind,F 11.02,F_11.02,F 11.02 Derivatives - Hedge accounting under National GAAP: Breakdown by type of risk,EBA,FINREP 3.0-Ind,2021-06-30,9999-12-31
EBA_FINREP_EBA_F_11.03_FINREP_3.0-Ind,F 11.03,F_11.03,F 11.03 Non-derivative hedging instruments: Breakdown by accounting portfolio and type of hedge,EBA,FINREP 3.0-Ind,2021-06-30,9999-12-31
EBA_FINREP_EBA_F_11.03.1_FINREP_3.0-Ind,F 11.03.1,F_11.03.1,F 11.03.1 Non-derivative hedging instruments under national GAAP: breakdown by accounting portfolio,EBA,FINREP 3.0-Ind,2021-06-30,9999-12-31
EBA_AE_EBA_F_34.00.c_AE_3.2,F 34.00.c,F_34.00.c,F 34.00.c Asset encumbrance: Contingent encumbrance (c),EBA,AE 3.2,2023-06-30,9999-12-31
