MAINTENANCE_AGENCY_ID,VARIABLE_ID,CODE,NAME,DOMAIN_ID,DESCRIPTION,PRIMARY_CONCEPT,IS_DECOMPOSED
ECB2,ECB2_PD,PD,Probability of default,ECB2_RL,"The counterparty’s probability of default over one year determined in accordance with Articles 160, 163, 179 and 180 of Regulation (EU) No 575/2013.",,
ECB2,ECB2_FREQ,FREQ,Frequency,ECB2_CL_FREQ,Reporting frequency,,
ECB2,ECB2_ISIN,Isin,International Securities Identifying Number,ECB2_STRNG,International Securities Identifying Number,,
ECB2,ECB2_MRKT_VL,MRKT_VL,Market Value,ECB2_MNTRY,Market Value,,
ECB2,ECB2_ARREARS,ARREARS,Arrears for the instrument,ECB2_MNTRY,Arrears for the instrument,,
ECB2,ECB2_NMNL_VL,NMNL_VL,Nominal Value,ECB2_MNTRY,Nominal Value,,
ECB2,ECB2_RSK_WGHT,RSK_WGHT,Risk-weight,ECB2_RL,Risk-weight,,
ECB2,ECB2_EXPSR_VL,EXPSR_VL,Exposure Value,ECB2_MNTRY,Exposure Value,,
ECB2,ECB2_LGD_NRML,LGD_NRML,Loss given default (LGD) in normal economic times,ECB2_RL,Loss given default (LGD) in normal economic times,,
ECB2,ECB2_MAT_DATE,MAT_DATE,Maturity date,ECB2_DT,Date on which the debt security is actually redeemed (source: CSDB),,
ECB2,ECB2_GROUP_ID,GROUP_ID,Group ID,ECB2_STRNG,Group ID,,
ECB2,ECB2_NOM_CURR,NOM_CURR,Nominal currency,ECB2_CL_SHS_CURRENCY,Nominal currency of the security (ISO 4217) (source: CSDB),,
ECB2,ECB2_EARLY_RED,EARLY_RED,Early redemptions included,ECB2_CL_YES_NO,Early redemptions included,,
ECB2,ECB2_ISSUER_ID,ISSUER_ID,Issuer ID,ECB2_STRNG,Issuer ID,,
ECB2,ECB2_GROUP_LEI,GROUP_LEI,Group LEI,ECB2_STRNG,Group LEI,,
ECB2,ECB2_ENTITY_ID,ENTITY_ID,Entity,ECB2_STRNG,Entity ID (holder),,
ECB2,ECB2_ISSUE_DATE,ISSUE_DATE,Issue date,ECB2_DT,The date on which the securities are delivered to the underwriter by the issuer against payment (source: CSDB),,
ECB2,ECB2_ISSUER_LEI,ISSUER_LEI,Issuer LEI,ECB2_STRNG,Issuer LEI,,
ECB2,ECB2_IDENTIFIER,IDENTIFIER,Identifier value,ECB2_STRNG,Code of the security,,
ECB2,ECB2_EXPSR_CLSS,EXPSR_CLSS,Exposure class as defined in accordance with Regulation (EU) No 575/2013,ECB2_CL_SHS_EXPSR_CLSS,Exposure class as defined in accordance with Regulation (EU) No 575/2013,,
ECB2,ECB2_GROUP_TYPE,GROUP_TYPE,Group type,ECB2_CL_SHS_GROUP_TYPE,Indicates the grouping status of an issuer,,
ECB2,ECB2_ENTITY_LEI,ENTITY_LEI,Entity LEI,ECB2_STRNG,Entity LEI,,
ECB2,ECB2_GROUP_NAME,GROUP_NAME,Name of the Group,ECB2_STRNG,Name of the Group,,
ECB2,ECB2_FRBRNC_STTS,FRBRNC_STTS,Status of forbearance and renegotiation,ECB2_CL_SHS_FRBRNC_STTS,Identification of forborne and renegotiated instruments,,
ECB2,ECB2_ENTITY_AREA,ENTITY_AREA,Country of residency of the entity,ECB2_CL_SHS_AREA,Country of legal incorporation or domicile of the entity (ISO 3166),,
ECB2,ECB2_TIME_PERIOD,TIME_PERIOD,Reference period,ECB2_STRNG,Reference period,,
ECB2,ECB2_LGD_DWNTRNS,LGD_DWNTRNS,Loss given default (LGD) in downturns,ECB2_RL,Loss given default (LGD) in downturns,,
ECB2,ECB2_INSTR_CLASS,INSTR_CLASS,Instrument ESA 2010 class,ECB2_CL_SHS_INSTR_ESA2010,Classification of the security according to ESA 2010 (source: CSDB),,
ECB2,ECB2_ENTITY_NAME,ENTITY_NAME,Name of the entity,ECB2_STRNG,Name of the entity (source: RIAD or SHS Group Hierarchy),,
ECB2,ECB2_ISSUER_NAME,ISSUER_NAME,Issuer name,ECB2_STRNG,Name of the issuer (source: CSDB),,
ECB2,ECB2_CRRYNG_AMNT,CRRYNG_AMNT,Carrying amount,ECB2_MNTRY,The carrying amount in accordance with Annex V to Implementing Regulation (EU) No 680/2014.,,
ECB2,ECB2_ARREARS_DATE,ARREARS_DATE,Date of arrears for the instrument,ECB2_DT,Date of arrears for the instrument,,
ECB2,ECB2_IMPRMNT_STTS,IMPRMNT_STTS,Imparement status,ECB2_CL_SHS_IMPRMNT_STTS,Imparement status,,
ECB2,ECB2_PRFRMNG_STTS,PRFRMNG_STTS,Performing status,ECB2_CL_SHS_PRFRMNG_STTS,Identification of non-performing instruments in accordance with Commission Implementing Regulation (EU) No 680/2014,,
ECB2,ECB2_SRC_ENCMBRNC,SRC_ENCMBRNC,Source of encumbrance,ECB2_CL_SHS_SRC_ENCMBRNC,"Type of transaction in which the exposure is encumbered in accordance with Implementing Regulation (EU) No 680/2014. An asset will be treated as encumbered if it has been pledged or if it is subject to any form of arrangement to secure, collateralise or credit enhance any instrument from which it cannot be freely withdrawn.",,
ECB2,ECB2_REP_NOM_CURR,REP_NOM_CURR,Reported Nominal currency,ECB2_CL_SHS_CURRENCY,Reported Nominal currency,,
ECB2,ECB2_UNIT_MEASURE,UNIT_MEASURE,Unit,ECB2_CL_SHS_UNIT,Unit,,
ECB2,ECB2_PRDNTL_PRTFL,PRDNTL_PRTFL,Prudential portfolio,ECB2_CL_SHS_PRDNTL_PRTFL,Prudential portfolio,,
ECB2,ECB2_ACCR_INTR_MV,ACCR_INTR_MV,Accrued interests for market values,ECB2_CL_YES_NO,Accrued interests for market values,,
ECB2,ECB2_GROUP_SECTOR,GROUP_SECTOR,ESA 2010 Sector of the head of Group,ECB2_CL_SHS_SECTOR,ESA 2010 Sector of the head of Group,,
ECB2,ECB2_GUARANTOR_ID,GUARANTOR_ID,Guarantor ID,ECB2_STRNG,Guarantor ID,,
ECB2,ECB2_ISSUER_SECTOR,ISSUER_SECTOR,Issuer ESA 2010 sector,ECB2_CL_SHS_ISSUER_ESA2010,Institutional sector of the issuer according to ESA 2010 (source: CSDB),,
ECB2,ECB2_GROUP_ID_TYPE,GROUP_ID_TYPE,Group ID type,ECB2_CL_SHS_ID_TYPE,Group ID type,,
ECB2,ECB2_ENTITY_STATUS,ENTITY_STATUS,Entity status,ECB2_CL_SHS_ENTITY_STATUS,"Supplementary attribute covering the information on the status of the issuers including the default status (as well as the categories describing the circumstances in which the entity can be in default in accordance with Article 178 of Regulation (EU) No 575/2013) and other status types of the party, e.g. merged, acquired etc.",,
ECB2,ECB2_ENTITY_SECTOR,ENTITY_SECTOR,ESA 2010 sector of the entity,ECB2_CL_SHS_SECTOR,ESA 2010 sector of the entity (source: RIAD or SHS Group Hierarchy),,
ECB2,ECB2_COMPILING_ORG,COMPILING_ORG,Reporting institution code,ECB2_CL_SHS_ORGANISATION,Reporting institution code,,
ECB2,ECB2_ISSUER_ID_TYPE,ISSUER_ID_TYPE,Issuer ID type,ECB2_CL_SHS_ID_TYPE,Issuer ID type,,
ECB2,ECB2_ENTITY_ID_TYPE,ENTITY_ID_TYPE,Entity ID type,ECB2_CL_SHS_ID_TYPE,Entity ID type,,
ECB2,ECB2_SENIORITY_TYPE,SENIORITY_TYPE,Instrument seniority type,ECB2_InSeTy,Instrument seniority type,,
ECB2,ECB2_ISSUER_COUNTRY,ISSUER_COUNTRY,Issuer country,ECB2_CL_SHS_ISSUER_AREA,Country of legal incorporation (domiciliation) of the issuer of the security (ISO 3166) (source: CSDB),,
ECB2,ECB2_DFLT_STTS_ISSR,DFLT_STTS_ISSR,Default status of the issuer,ECB2_CL_SHS_DFLT_STTS,Identification of the default status of the issuer in accordance with Article 178 of Regulation (EU) No 575/2013,,
ECB2,ECB2_DT_FRBRNC_STTS,DT_FRBRNC_STTS,Date of forbearance and renegotiation status,ECB2_DT,The date on which a forbearance or renegotiation status as reported under 'status of forbearance and renegotiation' is considered to have occurred.,,
ECB2,ECB2_UNIT_MEASURE_NV,UNIT_MEASURE_NV,Unit for Nominal Value,ECB2_CL_SHS_UNIT,Unit for Nominal Value,,
ECB2,ECB2_ACCMLTD_IMPRMNT,ACCMLTD_IMPRMNT,Accumulated impairment,ECB2_MNTRY,"The amount of loss allowances that are held against or are allocated to the instrument on the reporting reference date. This data attribute applies to instruments subject to impairment under the applied accounting standard. Under IFRS, the accumulated imp",,
ECB2,ECB2_IDENTIFIER_TYPE,IDENTIFIER_TYPE,Identifier type,ECB2_CL_SHS_IDENTIFIER_TYPE,Codification type for the security,,
ECB2,ECB2_REPORTING_BASIS,REPORTING_BASIS,Reporting basis,ECB2_CL_SHS_REP_BASIS,Reporting basis (source: NCBs),,
ECB2,ECB2_SECURITY_STATUS,SECURITY_STATUS,Security status,ECB2_SecSta,Supplementary attribute allowing to identify whether an security should be included in securities issued statistics (SEC) or not (it can indicate whether the security is alive or not) (source: CSDB),,
ECB2,ECB2_COLLATERAL_AREA,COLLATERAL_AREA,Collateral geographical location,ECB2_CL_SHS_COLLATERAL_AREA,Collateral geographical location,,
ECB2,ECB2_DT_PRFRMNG_STTS,DT_PRFRMNG_STTS,Date of the performing status of the instrument,ECB2_DT,The date on which the performing status as reported in 'performing status of the instrument' is considered to have been established or changed.,,
