VARIABLE_MAPPING_ID,MAINTENANCE_AGENCY_ID,CODE,NAME
DPM_mi292,ECB,DPM_mi292,DPM_mi292
DPM_mi295,ECB,DPM_mi295,DPM_mi295
DPM_mi297,ECB,DPM_mi297,DPM_mi297
SHS_PD,ECB,SHS_PD,SHS_PD
SHS_TPH,ECB,SHS_TPH,Mapping of Third Party Holdings Relevance for Aggregation for the template SHS
SHS_ESCB,ECB,SHS_ESCB,Mapping of ESCB for the template SHS
SHS_FREQ,ECB,SHS_FREQ,Mapping of Frequency for the template SHS
SHS_ISIN,ECB,SHS_ISIN,SHS_ISIN
SHS_PERIOD,ECB,SHS_PERIOD,SHS_PERIOD
SHS_EAPLUS,ECB,SHS_EAPLUS,Mapping of EA plus for the template SHS
SHS_MRKT_VL,ECB,SHS_MRKT_VL,SHS_MRKT_VL
SHS_ARREARS,ECB,SHS_ARREARS,SHS_ARREARS
SHS_NMNL_VL,ECB,SHS_NMNL_VL,SHS_NMNL_VL
SHS_REF_AREA,ECB,SHS_REF_AREA,Mapping of Reporting Country for the template SHS
SHS_RSK_WGHT,ECB,SHS_RSK_WGHT,SHS_RSK_WGHT
SHS_EXPSR_VL,ECB,SHS_EXPSR_VL,SHS_EXPSR_VL
SHS_LGD_NRML,ECB,SHS_LGD_NRML,SHS_LGD_NRML
SHS_MAT_DATE,ECB,SHS_MAT_DATE,SHS_MAT_DATE
SHS_GROUP_ID,ECB,SHS_GROUP_ID,SHS_GROUP_ID
SHS_NOM_CURR,ECB,SHS_NOM_CURR,Mapping of Nominal currency for the template SHS
SHS_ISSUER_ID,ECB,SHS_ISSUER_ID,SHS_ISSUER_ID
SHS_GROUP_LEI,ECB,SHS_GROUP_LEI,SHS_GROUP_LEI
SHS_ENTITY_ID,ECB,SHS_ENTITY_ID,SHS_ENTITY_ID
SHS_YIELD_MAT,ECB,SHS_YIELD_MAT,SHS_YIELD_MAT
SHS_DEBT_TYPE,ECB,SHS_DEBT_TYPE,Mapping of Debt type for the template SHS
SHS_EARLY_RED,ECB,SHS_EARLY_RED,Mapping of Early redemptions included for the template SHS
SHS_ISSUE_DATE,ECB,SHS_ISSUE_DATE,SHS_ISSUE_DATE
SHS_GROUP_AREA,ECB,SHS_GROUP_AREA,Mapping of Country of residence of the group for the template SHS
SHS_PRICE_DATE,ECB,SHS_PRICE_DATE,SHS_PRICE_DATE
SHS_ISSUER_LEI,ECB,SHS_ISSUER_LEI,SHS_ISSUER_LEI
SHS_GROUP_TYPE,ECB,SHS_GROUP_TYPE,Mapping of Group type for the template SHS
SHS_IDENTIFIER,ECB,SHS_IDENTIFIER,SHS_IDENTIFIER
SHS_EXPSR_CLSS,ECB,SHS_EXPSR_CLSS,Mapping of Exposure class as defined in accordance with Regulation (EU) No 575/2013 for the template SHS
SHS_ENTITY_LEI,ECB,SHS_ENTITY_LEI,SHS_ENTITY_LEI
SHS_GROUP_NAME,ECB,SHS_GROUP_NAME,SHS_GROUP_NAME
SHS_AMOUNT_OUT,ECB,SHS_AMOUNT_OUT,SHS_AMOUNT_OUT
SHS_POOLFACTOR,ECB,SHS_POOLFACTOR,SHS_POOLFACTOR
SHS_MARKET_CAP,ECB,SHS_MARKET_CAP,SHS_MARKET_CAP
SHS_SHORT_NAME,ECB,SHS_SHORT_NAME,SHS_SHORT_NAME
SHS_IS_IN_EADB,ECB,SHS_IS_IN_EADB,Mapping of Is in EADB for the template SHS
SHS_PRI_MRKT_VL,ECB,SHS_PRI_MRKT_VL,SHS_PRI_MRKT_VL
SHS_PRICE_VALUE,ECB,SHS_PRICE_VALUE,SHS_PRICE_VALUE
SHS_FRBRNC_STTS,ECB,SHS_FRBRNC_STTS,Mapping of 	Status of forbearance and renegotiation for the template SHS
SHS_OTH_MRKT_VL,ECB,SHS_OTH_MRKT_VL,SHS_OTH_MRKT_VL
SHS_COUPON_TYPE,ECB,SHS_COUPON_TYPE,Mapping of Coupon type for the template SHS
SHS_TIME_PERIOD,ECB,SHS_TIME_PERIOD,SHS_TIME_PERIOD
SHS_ENTITY_AREA,ECB,SHS_ENTITY_AREA,Mapping of Country of residency of the entity for the template SHS
SHS_ISSUE_PRICE,ECB,SHS_ISSUE_PRICE,SHS_ISSUE_PRICE
SHS_HOLDER_AREA,ECB,SHS_HOLDER_AREA,Mapping of Holder Country for the template SHS
SHS_INC_MRKT_VL,ECB,SHS_INC_MRKT_VL,SHS_INC_MRKT_VL
SHS_LGD_DWNTRNS,ECB,SHS_LGD_DWNTRNS,SHS_LGD_DWNTRNS
SHS_OWN_MRKT_VL,ECB,SHS_OWN_MRKT_VL,SHS_OWN_MRKT_VL
SHS_CRRYNG_AMNT,ECB,SHS_CRRYNG_AMNT,SHS_CRRYNG_AMNT
SHS_ISSUER_NAME,ECB,SHS_ISSUER_NAME,SHS_ISSUER_NAME
SHS_TRN_MRKT_VL,ECB,SHS_TRN_MRKT_VL,SHS_TRN_MRKT_VL
SHS_INSTR_CLASS,ECB,SHS_INSTR_CLASS,Mapping of Instrument ESA 2010 class for the template SHS
SHS_EXR_MRKT_VL,ECB,SHS_EXR_MRKT_VL,SHS_EXR_MRKT_VL
SHS_ENTITY_NAME,ECB,SHS_ENTITY_NAME,SHS_ENTITY_NAME
SHS_ARREARS_DATE,ECB,SHS_ARREARS_DATE,SHS_ARREARS_DATE
SHS_IMPRMNT_STTS,ECB,SHS_IMPRMNT_STTS,Mapping of Imparement status for the template SHS
SHS_PRFRMNG_STTS,ECB,SHS_PRFRMNG_STTS,Mapping of Performing status for the template SHS
SHS_SRC_ENCMBRNC,ECB,SHS_SRC_ENCMBRNC,Mapping of Source of encumbrance for the template SHS
SHS_REP_NOM_CURR,ECB,SHS_REP_NOM_CURR,Mapping of Reported Nominal currency for the template SHS
SHS_PRDNTL_PRTFL,ECB,SHS_PRDNTL_PRTFL,Mapping of Prudential portfolio for the template SHS
SHS_UNIT_MEASURE,ECB,SHS_UNIT_MEASURE,Mapping of Unit for the template SHS
SHS_GROUP_SECTOR,ECB,SHS_GROUP_SECTOR,Mapping of ESA 2010 Sector of the head of Group for the template SHS
SHS_ACCR_INTR_MV,ECB,SHS_ACCR_INTR_MV,Mapping of Accrued interests for market values for the template SHS
SHS_GUARANTOR_ID,ECB,SHS_GUARANTOR_ID,SHS_GUARANTOR_ID
SHS_ENTITY_SECTOR,ECB,SHS_ENTITY_SECTOR,Mapping of ESA 2010 sector of the entity for the template SHS
SHS_COMPILING_ORG,ECB,SHS_COMPILING_ORG,Mapping of Reporting institution code for the template SHS
SHS_ENTITY_STATUS,ECB,SHS_ENTITY_STATUS,Mapping of Entity status for the template SHS
SHS_NOMINAL_VALUE,ECB,SHS_NOMINAL_VALUE,SHS_NOMINAL_VALUE
SHS_HOLDER_SECTOR,ECB,SHS_HOLDER_SECTOR,Mapping of Holder Sector for the template SHS
SHS_ACCR_INTEREST,ECB,SHS_ACCR_INTEREST,SHS_ACCR_INTEREST
