VARIABLE_MAPPING_ID,VARIABLE_ID,IS_SOURCE,VALID_FROM,VALID_TO
DPM_mi290,EBA_mi290,true,2019-05-01,9999-12-31
DPM_mi290,ASST_ENCMBRNC_AMNT,false,2019-05-01,9999-12-31
DPM_mi291,EBA_mi291,true,2019-05-01,9999-12-31
DPM_mi291,ASST_SPCFC_VL,false,2019-05-01,9999-12-31
DPM_bi327,EBA_bi327,true,2019-05-01,9999-12-31
DPM_bi327,CVRD_BND_CRR_129,false,2019-05-01,9999-12-31
DPM_ei328,EBA_ei328,true,2019-05-01,9999-12-31
DPM_ei328,PRMRY_ASST_CLSS_CVR_PL,false,2019-05-01,9999-12-31
DPM_si294,EBA_si294,true,2019-05-01,9999-12-31
DPM_si294,CRDT_RTNG_AGNCY_NM,false,2019-05-01,9999-12-31
DPM_si293,EBA_si293,true,2019-05-01,9999-12-31
DPM_si293,EXTRNL_CRDT_ASSSSMNT,false,2019-05-01,9999-12-31
DPM_mi295,EBA_mi295,true,2019-05-01,9999-12-31
DPM_mi295,EXCSS_CVRG_NMNL_AMNT,false,2019-05-01,9999-12-31
DPM_mi297,EBA_mi297,true,2019-05-01,9999-12-31
DPM_mi297,EXCSS_CVRG_PRSNT_VL,false,2019-05-01,9999-12-31
DPM_mi292,EBA_mi292,true,2019-05-01,9999-12-31
DPM_mi292,EXCSS_CVRG_ASST_SPCFC_VL,false,2019-05-01,9999-12-31
DPM_CBC,EBA_CBC,true,2019-05-01,9999-12-31
DPM_CBC,CVRD_BND_PRGRM_ID,false,2019-05-01,9999-12-31
SHS_PD,PD,false,1999-01-01,9999-12-31
SHS_PD,ECB2_PD,true,1999-01-01,9999-12-31
SHS_ISIN,ISIN,false,1999-01-01,9999-12-31
SHS_TPH,ECB2_TPH,true,1999-01-01,9999-12-31
SHS_ARREARS,ARRRS,false,1999-01-01,9999-12-31
SHS_ISIN,ECB2_ISIN,true,1999-01-01,9999-12-31
SHS_ESCB,ECB2_ESCB,true,1999-01-01,9999-12-31
