AXIS_ID,CODE,ORIENTATION,ORDER,NAME,DESCRIPTION,TABLE_ID,IS_OPEN_AXIS
AE_REF_A_00_01_REF_AE 3_2_1,,X,,AE_REF_A_00_01_REF_AE 3_2_1,,,
AE_REF_A_00_01_REF_AE 3_2_2,,Y,,AE_REF_A_00_01_REF_AE 3_2_2,,,
AE_REF_F_32_01_REF_AE 3_2_1,,X,,AE_REF_F_32_01_REF_AE 3_2_1,,,
AE_REF_F_32_01_REF_AE 3_2_2,,Y,,AE_REF_F_32_01_REF_AE 3_2_2,,,
AE_REF_F_32_02_a_REF_AE 3_2_1,,X,,AE_REF_F_32_02_a_REF_AE 3_2_1,,,
AE_REF_F_32_02_a_REF_AE 3_2_2,,Y,,AE_REF_F_32_02_a_REF_AE 3_2_2,,,
AE_REF_F_32_02_b_REF_AE 3_2_1,,X,,AE_REF_F_32_02_b_REF_AE 3_2_1,,,
AE_REF_F_32_02_b_REF_AE 3_2_2,,Y,,AE_REF_F_32_02_b_REF_AE 3_2_2,,,
AE_REF_F_32_03_a_REF_AE 3_2_1,,X,,AE_REF_F_32_03_a_REF_AE 3_2_1,,,
AE_REF_F_32_03_a_REF_AE 3_2_2,,Y,,AE_REF_F_32_03_a_REF_AE 3_2_2,,,
AE_REF_F_32_03_b_REF_AE 3_2_1,,X,,AE_REF_F_32_03_b_REF_AE 3_2_1,,,
AE_REF_F_32_03_b_REF_AE 3_2_2,,Y,,AE_REF_F_32_03_b_REF_AE 3_2_2,,,
AE_REF_F_32_04_a_REF_AE 3_2_1,,X,,AE_REF_F_32_04_a_REF_AE 3_2_1,,,
AE_REF_F_32_04_a_REF_AE 3_2_2,,Y,,AE_REF_F_32_04_a_REF_AE 3_2_2,,,
AE_REF_F_32_04_b_REF_AE 3_2_1,,X,,AE_REF_F_32_04_b_REF_AE 3_2_1,,,
AE_REF_F_32_04_b_REF_AE 3_2_2,,Y,,AE_REF_F_32_04_b_REF_AE 3_2_2,,,
AE_REF_F_33_00_a_REF_AE 3_2_1,,X,,AE_REF_F_33_00_a_REF_AE 3_2_1,,,
AE_REF_F_33_00_a_REF_AE 3_2_2,,Y,,AE_REF_F_33_00_a_REF_AE 3_2_2,,,
AE_REF_F_33_00_b_REF_AE 3_2_1,,X,,AE_REF_F_33_00_b_REF_AE 3_2_1,,,
AE_REF_F_33_00_b_REF_AE 3_2_2,,Y,,AE_REF_F_33_00_b_REF_AE 3_2_2,,,
AE_REF_F_34_00_a_REF_AE 3_2_1,,X,,AE_REF_F_34_00_a_REF_AE 3_2_1,,,
AE_REF_F_34_00_a_REF_AE 3_2_2,,Y,,AE_REF_F_34_00_a_REF_AE 3_2_2,,,
AE_REF_F_34_00_b_REF_AE 3_2_1,,X,,AE_REF_F_34_00_b_REF_AE 3_2_1,,,
AE_REF_F_34_00_b_REF_AE 3_2_2,,Y,,AE_REF_F_34_00_b_REF_AE 3_2_2,,,
AE_REF_F_34_00_c_REF_AE 3_2_1,,X,,AE_REF_F_34_00_c_REF_AE 3_2_1,,,
AE_REF_F_34_00_c_REF_AE 3_2_2,,Y,,AE_REF_F_34_00_c_REF_AE 3_2_2,,,
AE_REF_F_34_00_c_REF_AE 3_2_3,,Z,,AE_REF_F_34_00_c_REF_AE 3_2_3,,,
AE_REF_F_35_00_a_REF_AE 3_2_1,,X,,AE_REF_F_35_00_a_REF_AE 3_2_1,,,
AE_REF_F_35_00_a_REF_AE 3_2_2,,Y,,AE_REF_F_35_00_a_REF_AE 3_2_2,,,
AE_REF_F_35_00_a_REF_AE 3_2_3,,Z,,AE_REF_F_35_00_a_REF_AE 3_2_3,,,
AE_REF_F_35_00_b_REF_AE 3_2_1,,X,,AE_REF_F_35_00_b_REF_AE 3_2_1,,,
AE_REF_F_35_00_b_REF_AE 3_2_2,,Y,,AE_REF_F_35_00_b_REF_AE 3_2_2,,,
