COMBINATION_ID,CODE,NAME,MAINTENANCE_AGENCY_ID,VERSION,VALID_FROM,VALID_TO,METRIC
F_01_01_REF_FINREP_3_0_10898_REF,,,,,,,CRRYNG_AMNT
F_01_01_REF_FINREP_3_0_10903_REF,,,,,,,CRRYNG_AMNT
F_01_01_REF_FINREP_3_0_10972_REF,,,,,,,CRRYNG_AMNT
F_01_01_REF_FINREP_3_0_10974_REF,,,,,,,CRRYNG_AMNT
F_01_01_REF_FINREP_3_0_10976_REF,,,,,,,CRRYNG_AMNT
F_01_01_REF_FINREP_3_0_10978_REF,,,,,,,CRRYNG_AMNT
F_01_01_REF_FINREP_3_0_11106_REF,,,,,,,CRRYNG_AMNT
F_01_01_REF_FINREP_3_0_11108_REF,,,,,,,CRRYNG_AMNT
F_01_01_REF_FINREP_3_0_11110_REF,,,,,,,CRRYNG_AMNT
F_01_01_REF_FINREP_3_0_11112_REF,,,,,,,CRRYNG_AMNT
F_01_01_REF_FINREP_3_0_11114_REF,,,,,,,CRRYNG_AMNT
F_01_01_REF_FINREP_3_0_112718_REF,,,,,,,CRRYNG_AMNT
F_01_01_REF_FINREP_3_0_113143_REF,,,,,,,CRRYNG_AMNT
F_01_01_REF_FINREP_3_0_113145_REF,,,,,,,CRRYNG_AMNT
F_01_01_REF_FINREP_3_0_113147_REF,,,,,,,CRRYNG_AMNT
F_01_01_REF_FINREP_3_0_113151_REF,,,,,,,CRRYNG_AMNT
F_01_01_REF_FINREP_3_0_113153_REF,,,,,,,CRRYNG_AMNT
F_01_01_REF_FINREP_3_0_113155_REF,,,,,,,CRRYNG_AMNT
F_01_01_REF_FINREP_3_0_113158_REF,,,,,,,CRRYNG_AMNT
F_01_01_REF_FINREP_3_0_113160_REF,,,,,,,CRRYNG_AMNT
F_01_01_REF_FINREP_3_0_11478_REF,,,,,,,CRRYNG_AMNT
F_01_01_REF_FINREP_3_0_11776_REF,,,,,,,CRRYNG_AMNT
F_01_01_REF_FINREP_3_0_11802_REF,,,,,,,CRRYNG_AMNT
F_01_01_REF_FINREP_3_0_11922_REF,,,,,,,CRRYNG_AMNT
F_01_01_REF_FINREP_3_0_151111_REF,,,,,,,CRRYNG_AMNT
F_01_01_REF_FINREP_3_0_151115_REF,,,,,,,CRRYNG_AMNT
F_01_01_REF_FINREP_3_0_151652_REF,,,,,,,CRRYNG_AMNT
F_01_01_REF_FINREP_3_0_151654_REF,,,,,,,CRRYNG_AMNT
F_01_01_REF_FINREP_3_0_152247_REF,,,,,,,CRRYNG_AMNT
F_01_01_REF_FINREP_3_0_152251_REF,,,,,,,CRRYNG_AMNT
F_01_01_REF_FINREP_3_0_152253_REF,,,,,,,CRRYNG_AMNT
F_01_01_REF_FINREP_3_0_152657_REF,,,,,,,CRRYNG_AMNT
F_01_01_REF_FINREP_3_0_152732_REF,,,,,,,CRRYNG_AMNT
F_01_01_REF_FINREP_3_0_152734_REF,,,,,,,CRRYNG_AMNT
F_01_01_REF_FINREP_3_0_152736_REF,,,,,,,CRRYNG_AMNT
F_01_01_REF_FINREP_3_0_152738_REF,,,,,,,CRRYNG_AMNT
F_01_01_REF_FINREP_3_0_152873_REF,,,,,,,CRRYNG_AMNT
F_01_01_REF_FINREP_3_0_152875_REF,,,,,,,CRRYNG_AMNT
F_01_01_REF_FINREP_3_0_152877_REF,,,,,,,CRRYNG_AMNT
F_01_01_REF_FINREP_3_0_152879_REF,,,,,,,CRRYNG_AMNT
