MAINTENANCE_AGENCY_ID,CUBE_LINK_ID,CODE,NAME,DESCRIPTION,VALID_FROM,VALID_TO,VERSION,ORDER_RELEVANCE,PRIMARY_CUBE_ID,FOREIGN_CUBE_ID,CUBE_LINK_TYPE,JOIN_IDENTIFIER
,F_01_01_REF_FINREP_3_0:CLLTRL:Other loans,,INSTRMNT:Other loans:CLLTRL,INSTRMNT:TYP_INSTRMNT_251:Other loans:CLLTRL,,,,,CLLTRL,F_01_01_REF_FINREP_3_0,,Other loans
,F_01_01_REF_FINREP_3_0:CLLTRL:Tangible assets,,INSTRMNT:Tangible assets:CLLTRL,INSTRMNT:TYP_ACCNTNG_ITM_410:Tangible assets:CLLTRL,,,,,CLLTRL,F_01_01_REF_FINREP_3_0,,Tangible assets
,F_01_01_REF_FINREP_3_0:INSTRMNT:On demand and short notice,,INSTRMNT:On demand and short notice:INSTRMNT,INSTRMNT:TYP_INSTRMNT_1000:On demand and short notice:INSTRMNT,,,,,INSTRMNT,F_01_01_REF_FINREP_3_0,,On demand and short notice
,F_01_01_REF_FINREP_3_0:INSTRMNT:Other loans,,INSTRMNT:Other loans:INSTRMNT,INSTRMNT:TYP_INSTRMNT_251:Other loans:INSTRMNT,,,,,INSTRMNT,F_01_01_REF_FINREP_3_0,,Other loans
,F_01_01_REF_FINREP_3_0:INSTRMNT:Tangible assets,,INSTRMNT:Tangible assets:INSTRMNT,INSTRMNT:TYP_ACCNTNG_ITM_410:Tangible assets:INSTRMNT,,,,,INSTRMNT,F_01_01_REF_FINREP_3_0,,Tangible assets
,F_01_01_REF_FINREP_3_0:INSTRMNT_ENTTY_RL_ASSGNMNT:On demand and short notice,,INSTRMNT:On demand and short notice:INSTRMNT_ENTTY_RL_ASSGNMNT,INSTRMNT:TYP_INSTRMNT_1000:On demand and short notice:INSTRMNT_ENTTY_RL_ASSGNMNT,,,,,INSTRMNT_ENTTY_RL_ASSGNMNT,F_01_01_REF_FINREP_3_0,,On demand and short notice
,F_01_01_REF_FINREP_3_0:INSTRMNT_ENTTY_RL_ASSGNMNT:Other loans,,INSTRMNT:Other loans:INSTRMNT_ENTTY_RL_ASSGNMNT,INSTRMNT:TYP_INSTRMNT_251:Other loans:INSTRMNT_ENTTY_RL_ASSGNMNT,,,,,INSTRMNT_ENTTY_RL_ASSGNMNT,F_01_01_REF_FINREP_3_0,,Other loans
,F_01_01_REF_FINREP_3_0:INSTRMNT_RL:On demand and short notice,,INSTRMNT:On demand and short notice:INSTRMNT_RL,INSTRMNT:TYP_INSTRMNT_1000:On demand and short notice:INSTRMNT_RL,,,,,INSTRMNT_RL,F_01_01_REF_FINREP_3_0,,On demand and short notice
,F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Other loans,,INSTRMNT:Other loans:INSTRMNT_RL,INSTRMNT:TYP_INSTRMNT_251:Other loans:INSTRMNT_RL,,,,,INSTRMNT_RL,F_01_01_REF_FINREP_3_0,,Other loans
,F_01_01_REF_FINREP_3_0:LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT:Non Negotiable bonds,,LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT:Non Negotiable bonds:LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT,LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT:TYP_INSTRMNT_251:Non Negotiable bonds:LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT,,,,,LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT,F_01_01_REF_FINREP_3_0,,Non Negotiable bonds
,F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST:Current tax assets,,NN_FNNCL_ASST:Current tax assets:NN_FNNCL_ASST,NN_FNNCL_ASST:TYP_ACCNTNG_ITM_440:Current tax assets:NN_FNNCL_ASST,,,,,NN_FNNCL_ASST,F_01_01_REF_FINREP_3_0,,Current tax assets
