MAINTENANCE_AGENCY_ID,CUBE_STRUCTURE_ID,NAME,CODE,DESCRIPTION,VALID_FROM,VALID_TO,VERSION
,ASST_PL,ASST_PL,,,,,
,ASST_PL_CLLTRL_RCVD_ASSGNMNT,ASST_PL_CLLTRL_RCVD_ASSGNMNT,,,,,
,ASST_PL_DBT_SCRTY_PSTN_ASSGNMNT,ASST_PL_DBT_SCRTY_PSTN_ASSGNMNT,,,,,
,ASST_PL_EXCHNG_TRDBL_DRVTV_PSTN_ASSGNMNT,ASST_PL_EXCHNG_TRDBL_DRVTV_PSTN_ASSGNMNT,,,,,
,ASST_PL_INSTRMNT_ASSGNMNT,ASST_PL_INSTRMNT_ASSGNMNT,,,,,
,AXIS,AXIS,,,,,
,AXIS_ORDINATE,AXIS_ORDINATE,,,,,
,AortaTableReference,AortaTableReference,,,,,
,AutomodeConfiguration,AutomodeConfiguration,,,,,
,BLNC_SHT_NTTNG,BLNC_SHT_NTTNG,,,,,
,CELL_POSITION,CELL_POSITION,,,,,
,CLLTRL,CLLTRL,,,,,
,CLLTRL_GVN_INSTRMNT_DBT_SCRTY_ISSD_ASSGNMNT,CLLTRL_GVN_INSTRMNT_DBT_SCRTY_ISSD_ASSGNMNT,,,,,
,CLLTRL_NN_FNNCL_ASST_ASSGNMNT,CLLTRL_NN_FNNCL_ASST_ASSGNMNT,,,,,
,CLLTRL_RL,CLLTRL_RL,,,,,
,COMBINATION,COMBINATION,,,,,
,COMBINATION_ITEM,COMBINATION_ITEM,,,,,
,CRDT_FCLTY,CRDT_FCLTY,,,,,
,CRDT_FCLTY_CLLTRL_ASSGNMNT,CRDT_FCLTY_CLLTRL_ASSGNMNT,,,,,
,CRDT_FCLTY_CLLTRL_RCVD_INSTRMNT_ASSGNMNT,CRDT_FCLTY_CLLTRL_RCVD_INSTRMNT_ASSGNMNT,,,,,
,CRDT_FCLTY_ENTTY_RL_ASSGNMNT,CRDT_FCLTY_ENTTY_RL_ASSGNMNT,,,,,
,CRDT_RSK_MTGTN_ASSGNMNT,CRDT_RSK_MTGTN_ASSGNMNT,,,,,
,CRDT_TRNSFR_OTHR_SCRTSTN_CVRD_BND_PRGRM,CRDT_TRNSFR_OTHR_SCRTSTN_CVRD_BND_PRGRM,,,,,
,CSH_HND,CSH_HND,,,,,
,CUBE,CUBE,,,,,
,CUBE_LINK,CUBE_LINK,,,,,
,CUBE_STRUCTURE,CUBE_STRUCTURE,,,,,
,CUBE_STRUCTURE_ITEM,CUBE_STRUCTURE_ITEM,,,,,
,CUBE_STRUCTURE_ITEM_LINK,CUBE_STRUCTURE_ITEM_LINK,,,,,
,CUBE_TO_COMBINATION,CUBE_TO_COMBINATION,,,,,
,CVRD_BND_ISSNC,CVRD_BND_ISSNC,,,,,
,CVRD_BND_PRGRM,CVRD_BND_PRGRM,,,,,
,CVRD_BND_PRGRMM_RLVNT_RGM_EXCSS,CVRD_BND_PRGRMM_RLVNT_RGM_EXCSS,,,,,
,ContentType,ContentType,,,,,
,DBT_SCRTY_ISSD,DBT_SCRTY_ISSD,,,,,
,DBT_SCRTY_ISSD_HDG,DBT_SCRTY_ISSD_HDG,,,,,
,DBT_SCRTY_ISSD_PRTCN_ARRNGMNT_GVN_ASSGNMNT,DBT_SCRTY_ISSD_PRTCN_ARRNGMNT_GVN_ASSGNMNT,,,,,
,DBT_SCRTY_ISSD_TRDTNL_SCRTSTN_ASSGNMNT,DBT_SCRTY_ISSD_TRDTNL_SCRTSTN_ASSGNMNT,,,,,
,DOMAIN,DOMAIN,,,,,
,DatabaseColumnValue,DatabaseColumnValue,,,,,
,DatabaseField,DatabaseField,,,,,
,DatabaseRow,DatabaseRow,,,,,
,DatabaseTable,DatabaseTable,,,,,
,DerivedRowSourceReference,DerivedRowSourceReference,,,,,
,DerivedTable,DerivedTable,,,,,
,DerivedTableRow,DerivedTableRow,,,,,
,ENTTY_RL,ENTTY_RL,,,,,
,EQT_INSTRMNT_NT_SCRT_HDG,EQT_INSTRMNT_NT_SCRT_HDG,,,,,
,ETD_LBLTY_PSTN_SNTHTC_SCRTSTN_ASSGNMNT,ETD_LBLTY_PSTN_SNTHTC_SCRTSTN_ASSGNMNT,,,,,
,EXCHNG_TRDBL_DRVTV_PSTN,EXCHNG_TRDBL_DRVTV_PSTN,,,,,
,EXCHNG_TRDBL_DRVTV_PSTN_PRTCN_ARRNGMNT_ASSGNMNT,EXCHNG_TRDBL_DRVTV_PSTN_PRTCN_ARRNGMNT_ASSGNMNT,,,,,
,EXCHNG_TRDBL_DRVTV_PSTN_RL,EXCHNG_TRDBL_DRVTV_PSTN_RL,,,,,
,EvaluatedDerivedTable,EvaluatedDerivedTable,,,,,
,EvaluatedFunction,EvaluatedFunction,,,,,
,EvaluatedFunctionSourceValue,EvaluatedFunctionSourceValue,,,,,
,FACET_COLLECTION,FACET_COLLECTION,,,,,
,FNDMNTL_RVW_TRDNG_BK_STNDRD_APPRCH_RSK_MSR_ETD_PSTNS,FNDMNTL_RVW_TRDNG_BK_STNDRD_APPRCH_RSK_MSR_ETD_PSTNS,,,,,
,FNDMNTL_RVW_TRDNG_BK_STNDRD_APPRCH_RSK_MSR_FR_SCRTY_PSTNS,FNDMNTL_RVW_TRDNG_BK_STNDRD_APPRCH_RSK_MSR_FR_SCRTY_PSTNS,,,,,
,FNDMNTL_RVW_TRDNG_BK_STNDRD_APPRCH_RSK_MSR_OTC_PSTNS,FNDMNTL_RVW_TRDNG_BK_STNDRD_APPRCH_RSK_MSR_OTC_PSTNS,,,,,
,FNNCL_CNTRCT,FNNCL_CNTRCT,,,,,
,FNNCL_GRNT_INSTRMNT_DBT_SCRT_DBT_SCRTY_ASSGNMNT,FNNCL_GRNT_INSTRMNT_DBT_SCRT_DBT_SCRTY_ASSGNMNT,,,,,
,FRAMEWORK,FRAMEWORK,,,,,
,FR_VL_DCRS_CNTNGNT_ENCMBRNC,FR_VL_DCRS_CNTNGNT_ENCMBRNC,,,,,
,F_01_01_REF_FINREP_3_0_cube_structure,F_01_01_REF_FINREP_3_0_cube_structure,,,,,
,F_01_02_REF_FINREP_3_0_cube_structure,F_01_02_REF_FINREP_3_0_cube_structure,,,,,
,F_04_01_REF_FINREP_3_0_cube_structure,F_04_01_REF_FINREP_3_0_cube_structure,,,,,
,F_04_02_1_REF_FINREP_3_0_cube_structure,F_04_02_1_REF_FINREP_3_0_cube_structure,,,,,
,F_04_02_2_REF_FINREP_3_0_cube_structure,F_04_02_2_REF_FINREP_3_0_cube_structure,,,,,
,F_04_03_1_REF_FINREP_3_0_cube_structure,F_04_03_1_REF_FINREP_3_0_cube_structure,,,,,
,F_04_04_1_REF_FINREP_3_0_cube_structure,F_04_04_1_REF_FINREP_3_0_cube_structure,,,,,
,F_04_05_REF_FINREP_3_0_cube_structure,F_04_05_REF_FINREP_3_0_cube_structure,,,,,
,F_04_06_REF_FINREP_3_0_cube_structure,F_04_06_REF_FINREP_3_0_cube_structure,,,,,
,F_04_07_REF_FINREP_3_0_cube_structure,F_04_07_REF_FINREP_3_0_cube_structure,,,,,
,F_04_08_REF_FINREP_3_0_cube_structure,F_04_08_REF_FINREP_3_0_cube_structure,,,,,
,F_04_09_REF_FINREP_3_0_cube_structure,F_04_09_REF_FINREP_3_0_cube_structure,,,,,
,F_04_10_REF_FINREP_3_0_cube_structure,F_04_10_REF_FINREP_3_0_cube_structure,,,,,
,F_05_01_REF_FINREP_3_0_cube_structure,F_05_01_REF_FINREP_3_0_cube_structure,,,,,
,F_06_01_REF_FINREP_3_0_cube_structure,F_06_01_REF_FINREP_3_0_cube_structure,,,,,
,F_07_01_REF_FINREP_3_0_cube_structure,F_07_01_REF_FINREP_3_0_cube_structure,,,,,
,F_07_02_REF_FINREP_3_0_cube_structure,F_07_02_REF_FINREP_3_0_cube_structure,,,,,
,F_08_01_a_REF_FINREP_3_0_cube_structure,F_08_01_a_REF_FINREP_3_0_cube_structure,,,,,
,F_08_01_b_REF_FINREP_3_0_cube_structure,F_08_01_b_REF_FINREP_3_0_cube_structure,,,,,
,F_08_02_REF_FINREP_3_0_cube_structure,F_08_02_REF_FINREP_3_0_cube_structure,,,,,
