ID,CUBE_ID,COMBINATION_ID
17339,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_151052_REF
17340,F_40_01_REF_FINREP_3_0,F_40_01_REF_FINREP_3_0_456733_REF
17341,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_152496_REF
17342,F_20_06_REF_FINREP_3_0,F_20_06_REF_FINREP_3_0_152161_REF
17343,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_152580_REF
17344,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_152487_REF
17345,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_429377_REF
17346,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_429322_REF
17347,F_40_02_REF_FINREP_3_0,F_40_02_REF_FINREP_3_0_456731_REF
17348,F_40_01_REF_FINREP_3_0,F_40_01_REF_FINREP_3_0_456973_REF
17349,F_40_01_REF_FINREP_3_0,F_40_01_REF_FINREP_3_0_456081_REF
17350,F_20_06_REF_FINREP_3_0,F_20_06_REF_FINREP_3_0_152163_REF
17351,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_150848_REF
17352,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_441778_REF
17353,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_442052_REF
17354,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_429285_REF
17355,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_152410_REF
17356,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_442055_REF
17357,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_112763_REF
17358,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_112767_REF
17359,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_112764_REF
17360,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_442065_REF
17361,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_151065_REF
17362,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_150847_REF
17363,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_434228_REF
17364,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_152578_REF
17365,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_442058_REF
17366,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_152412_REF
17367,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_112782_REF
17368,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_150852_REF
17369,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_151062_REF
17370,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_150849_REF
17371,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_442044_REF
17372,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_152358_REF
17373,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_152494_REF
17374,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_112773_REF
17375,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_442042_REF
17376,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_112798_REF
17377,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_442053_REF
17378,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_429411_REF
17379,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_112771_REF
17380,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_152408_REF
17381,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_442059_REF
17382,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_441757_REF
17383,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_150850_REF
17384,F_40_01_REF_FINREP_3_0,F_40_01_REF_FINREP_3_0_456459_REF
17385,F_40_01_REF_FINREP_3_0,F_40_01_REF_FINREP_3_0_457222_REF
17386,F_20_06_REF_FINREP_3_0,F_20_06_REF_FINREP_3_0_152172_REF
17387,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_434230_REF
17388,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_429379_REF
17389,F_20_06_REF_FINREP_3_0,F_20_06_REF_FINREP_3_0_152167_REF
17390,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_152497_REF
17391,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_151066_REF
17392,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_152492_REF
17393,F_20_06_REF_FINREP_3_0,F_20_06_REF_FINREP_3_0_152165_REF
17394,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_152581_REF
17395,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_151070_REF
17396,F_40_01_REF_FINREP_3_0,F_40_01_REF_FINREP_3_0_456726_REF
17397,F_40_01_REF_FINREP_3_0,F_40_01_REF_FINREP_3_0_456974_REF
17398,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_151069_REF
17399,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_429324_REF
17400,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_442062_REF
17401,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_152367_REF
17402,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_429289_REF
17403,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_442049_REF
17404,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_441810_REF
17405,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_150898_REF
17406,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_151068_REF
17407,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_152368_REF
17408,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_151058_REF
17409,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_152474_REF
17410,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_112781_REF
17411,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_151051_REF
17412,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_150853_REF
17413,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_112765_REF
17414,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_112801_REF
17415,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_112807_REF
17416,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_67802_REF
17417,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_152583_REF
17418,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_152409_REF
17419,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_442063_REF
17420,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_151055_REF
17421,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_434225_REF
17422,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_150896_REF
17423,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_442061_REF
17424,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_151064_REF
17425,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_442041_REF
17426,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_152366_REF
17427,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_429287_REF
17428,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_442051_REF
17429,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_429355_REF
17430,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_152486_REF
17431,F_40_01_REF_FINREP_3_0,F_40_01_REF_FINREP_3_0_456729_REF
17432,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_151049_REF
17433,F_40_01_REF_FINREP_3_0,F_40_01_REF_FINREP_3_0_454813_REF
17434,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_152576_REF
17435,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_152489_REF
17436,F_20_06_REF_FINREP_3_0,F_20_06_REF_FINREP_3_0_152166_REF
17437,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_152490_REF
17438,F_40_01_REF_FINREP_3_0,F_40_01_REF_FINREP_3_0_455016_REF
17439,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_152479_REF
17440,F_40_02_REF_FINREP_3_0,F_40_02_REF_FINREP_3_0_454692_REF
17441,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_152491_REF
17442,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_429288_REF
17443,F_20_06_REF_FINREP_3_0,F_20_06_REF_FINREP_3_0_152160_REF
17444,F_40_01_REF_FINREP_3_0,F_40_01_REF_FINREP_3_0_456465_REF
17445,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_152476_REF
17446,F_20_06_REF_FINREP_3_0,F_20_06_REF_FINREP_3_0_152162_REF
17447,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_151071_REF
17448,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_151061_REF
17449,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_152411_REF
17450,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_112806_REF
17451,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_152481_REF
17452,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_151072_REF
