MAINTENANCE_AGENCY_ID,FACET_ID,CODE,NAME,FACET_VALUE_TYPE
ECB,BLN_STRNG,BLN_STRNG,Boolean string,String
ECB,STRNG_120_ID,STRNG_120_ID,STRNG_120_ID,String
ECB,ISIN_12,ISIN_12,ISIN_12,String
ECB,STRNG_ASCII_250,STRNG_ASCII_250,STRNG_ASCII_250,String
ECB,STRNG_1,STRNG_1,STRNG_1,String
ECB,STRNG_2,STRNG_2,String restricted to two characters,String
ECB,STRNG_10,STRNG_10,STRNG_10,String
ECB,STRNG_255,STRNG_255,STRNG_255,String
ECB,STRNG_FULL,STRNG_FULL,STRNG_FULL,String
ECB,INTGR_NN_NGTV,INTGR_NN_NGTV,INTGR_NN_NGTV,Integer
ECB,FLL_YYYY_MM_DD,FLL_YYYY_MM_DD,FLL_YYYY_MM_DD,GregorianDay
ECB,ID_3,ID_3,ID_3,String
ECB,ID_7,ID_7,ID_7,String
ECB,ID_6,ID_6,ID_6,String
ECB,ID_8,ID_8,ID_8,String
ECB,ID_4,ID_4,ID_4,String
ECB,ID_9,ID_9,ID_9,String
ECB,ID_5,ID_5,ID_5,String
ECB,ID_1,ID_1,ID_1,String
ECB,ID_10,ID_10,ID_10,String
ECB,AN_64,AN_64,AN_64,String
ECB,ID_20,ID_20,ID_20,String
ECB,ID_5D,ID_5D,ID_5D,String
ECB,ID_11,ID_11,ID_11,String
ECB,ID_13D,ID_13D,ID_13D,String
ECB,ID_12D,ID_12D,ID_12D,String
ECB,ID_8DL,ID_8DL,ID_8DL,String
ECB,ALL_6D,ALL_6D,ALL_6D,Decimal
ECB,ALL_2D,ALL_2D,ALL_2D,Decimal
ECB,ID_0_9,ID_0_9,ID_0_9,String
ECB,ID_L_7D,ID_L_7D,ID_L_7D,String
ECB,0TO1_6D,0TO1_6D,0TO1_6D,Decimal
ECB,ID_7_5D,ID_7_5D,ID_7_5D,String
ECB,ID_SI_8,ID_SI_8,ID_SI_8,String
ECB,PSTV_2D,PSTV_2D,PSTV_2D,Decimal
ECB,ID_9_13,ID_9_13,ID_9_13,String
ECB,ID_DE_9D,ID_DE_9D,ID_DE_9D,String
ECB,ID_1D_5D,ID_1D_5D,ID_1D_5D,String
ECB,STRNG_50,STRNG_50,STRNG_50,String
ECB,ID_FI_8D,ID_FI_8D,ID_FI_8D,String
ECB,ID_PF_4D,ID_PF_4D,ID_PF_4D,String
ECB,ID_8D_1L,ID_8D_1L,ID_8D_1L,String
ECB,ID_1L_9D,ID_1L_9D,ID_1L_9D,String
ECB,ID_2D_7D,ID_2D_7D,ID_2D_7D,String
ECB,STRNG_20,STRNG_20,STRNG_20,String
ECB,ID_1D_2D,ID_1D_2D,ID_1D_2D,String
ECB,ID_PL_10,ID_PL_10,ID_PL_10,String
ECB,ID_1D_3D,ID_1D_3D,ID_1D_3D,String
ECB,ID_9D_1D,ID_9D_1D,ID_9D_1D,String
ECB,ID_9D_1L,ID_9D_1L,ID_9D_1L,String
ECB,ID_6D_4D,ID_6D_4D,ID_6D_4D,String
ECB,ID_HU_8D,ID_HU_8D,ID_HU_8D,String
ECB,ID_39_2D,ID_39_2D,ID_39_2D,String
ECB,ID_2L_7D,ID_2L_7D,ID_2L_7D,String
ECB,ID_2L_5D,ID_2L_5D,ID_2L_5D,String
ECB,ID_SE_12,ID_SE_12,ID_SE_12,String
ECB,ID_A_Z_D,ID_A_Z_D,ID_A_Z_D,String
ECB,ID_6D_1L,ID_6D_1L,ID_6D_1L,String
ECB,ID_S13_8D,ID_S13_8D,ID_S13_8D,String
ECB,ID_LV_11D,ID_LV_11D,ID_LV_11D,String
ECB,ID_MAX_8D,ID_MAX_8D,ID_MAX_8D,String
ECB,ID_IT_13D,ID_IT_13D,ID_IT_13D,String
