MAINTENANCE_AGENCY_ID,MAPPING_ID,NAME,MAPPING_TYPE,CODE,ALGORITHM,MEMBER_MAPPING_ID,VARIABLE_MAPPING_ID
ECB,DPM_mi292,DPM_mi292,A,DPM_mi292,,,DPM_mi292
ECB,DPM_mi295,DPM_mi295,A,DPM_mi295,,,DPM_mi295
ECB,DPM_mi297,DPM_mi297,A,DPM_mi297,,,DPM_mi297
ECB,SHS_PD,SHS_PD,A,SHS_PD,,,SHS_PD
ECB,SHS_TPH,Mapping of Third Party Holdings Relevance for Aggregation for the template SHS,E,SHS_TPH,,SHS_TPH,SHS_TPH
ECB,SHS_ESCB,Mapping of ESCB for the template SHS,E,SHS_ESCB,,SHS_ESCB,SHS_ESCB
ECB,SHS_FREQ,Mapping of Frequency for the template SHS,E,SHS_FREQ,,SHS_FREQ,SHS_FREQ
ECB,SHS_ISIN,SHS_ISIN,A,SHS_ISIN,,,SHS_ISIN
ECB,SHS_PERIOD,SHS_PERIOD,A,SHS_PERIOD,,,SHS_PERIOD
ECB,SHS_EAPLUS,Mapping of EA plus for the template SHS,E,SHS_EAPLUS,,SHS_EAPLUS,SHS_EAPLUS
ECB,SHS_MRKT_VL,SHS_MRKT_VL,A,SHS_MRKT_VL,,,SHS_MRKT_VL
ECB,SHS_ARREARS,SHS_ARREARS,A,SHS_ARREARS,,,SHS_ARREARS
ECB,SHS_NMNL_VL,SHS_NMNL_VL,A,SHS_NMNL_VL,,,SHS_NMNL_VL
ECB,SHS_REF_AREA,Mapping of Reporting Country for the template SHS,E,SHS_REF_AREA,,SHS_REF_AREA,SHS_REF_AREA
ECB,SHS_RSK_WGHT,SHS_RSK_WGHT,A,SHS_RSK_WGHT,,,SHS_RSK_WGHT
ECB,SHS_EXPSR_VL,SHS_EXPSR_VL,A,SHS_EXPSR_VL,,,SHS_EXPSR_VL
ECB,SHS_LGD_NRML,SHS_LGD_NRML,A,SHS_LGD_NRML,,,SHS_LGD_NRML
ECB,SHS_MAT_DATE,SHS_MAT_DATE,A,SHS_MAT_DATE,,,SHS_MAT_DATE
ECB,SHS_GROUP_ID,SHS_GROUP_ID,A,SHS_GROUP_ID,,,SHS_GROUP_ID
ECB,SHS_NOM_CURR,Mapping of Nominal currency for the template SHS,E,SHS_NOM_CURR,,SHS_NOM_CURR,SHS_NOM_CURR
ECB,SHS_ISSUER_ID,SHS_ISSUER_ID,A,SHS_ISSUER_ID,,,SHS_ISSUER_ID
ECB,SHS_GROUP_LEI,SHS_GROUP_LEI,A,SHS_GROUP_LEI,,,SHS_GROUP_LEI
ECB,SHS_ENTITY_ID,SHS_ENTITY_ID,A,SHS_ENTITY_ID,,,SHS_ENTITY_ID
ECB,SHS_YIELD_MAT,SHS_YIELD_MAT,A,SHS_YIELD_MAT,,,SHS_YIELD_MAT
ECB,SHS_DEBT_TYPE,Mapping of Debt type for the template SHS,E,SHS_DEBT_TYPE,,SHS_DEBT_TYPE,SHS_DEBT_TYPE
ECB,SHS_EARLY_RED,Mapping of Early redemptions included for the template SHS,E,SHS_EARLY_RED,,SHS_EARLY_RED,SHS_EARLY_RED
ECB,SHS_ISSUE_DATE,SHS_ISSUE_DATE,A,SHS_ISSUE_DATE,,,SHS_ISSUE_DATE
ECB,SHS_GROUP_AREA,Mapping of Country of residence of the group for the template SHS,E,SHS_GROUP_AREA,,SHS_GROUP_AREA,SHS_GROUP_AREA
ECB,SHS_PRICE_DATE,SHS_PRICE_DATE,A,SHS_PRICE_DATE,,,SHS_PRICE_DATE
ECB,SHS_ISSUER_LEI,SHS_ISSUER_LEI,A,SHS_ISSUER_LEI,,,SHS_ISSUER_LEI
ECB,SHS_GROUP_TYPE,Mapping of Group type for the template SHS,E,SHS_GROUP_TYPE,,SHS_GROUP_TYPE,SHS_GROUP_TYPE
ECB,SHS_IDENTIFIER,SHS_IDENTIFIER,A,SHS_IDENTIFIER,,,SHS_IDENTIFIER
ECB,SHS_EXPSR_CLSS,Mapping of Exposure class as defined in accordance with Regulation (EU) No 575/2013 for the template SHS,E,SHS_EXPSR_CLSS,,SHS_EXPSR_CLSS,SHS_EXPSR_CLSS
ECB,SHS_ENTITY_LEI,SHS_ENTITY_LEI,A,SHS_ENTITY_LEI,,,SHS_ENTITY_LEI
ECB,SHS_GROUP_NAME,SHS_GROUP_NAME,A,SHS_GROUP_NAME,,,SHS_GROUP_NAME
ECB,SHS_AMOUNT_OUT,SHS_AMOUNT_OUT,A,SHS_AMOUNT_OUT,,,SHS_AMOUNT_OUT
ECB,SHS_POOLFACTOR,SHS_POOLFACTOR,A,SHS_POOLFACTOR,,,SHS_POOLFACTOR
ECB,SHS_MARKET_CAP,SHS_MARKET_CAP,A,SHS_MARKET_CAP,,,SHS_MARKET_CAP
ECB,SHS_SHORT_NAME,SHS_SHORT_NAME,A,SHS_SHORT_NAME,,,SHS_SHORT_NAME
ECB,SHS_IS_IN_EADB,Mapping of Is in EADB for the template SHS,E,SHS_IS_IN_EADB,,SHS_IS_IN_EADB,SHS_IS_IN_EADB
ECB,SHS_PRI_MRKT_VL,SHS_PRI_MRKT_VL,A,SHS_PRI_MRKT_VL,,,SHS_PRI_MRKT_VL
ECB,SHS_PRICE_VALUE,SHS_PRICE_VALUE,A,SHS_PRICE_VALUE,,,SHS_PRICE_VALUE
ECB,SHS_FRBRNC_STTS,Mapping of 	Status of forbearance and renegotiation for the template SHS,E,SHS_FRBRNC_STTS,,SHS_FRBRNC_STTS,SHS_FRBRNC_STTS
ECB,SHS_OTH_MRKT_VL,SHS_OTH_MRKT_VL,A,SHS_OTH_MRKT_VL,,,SHS_OTH_MRKT_VL
ECB,SHS_COUPON_TYPE,Mapping of Coupon type for the template SHS,E,SHS_COUPON_TYPE,,SHS_COUPON_TYPE,SHS_COUPON_TYPE
ECB,SHS_TIME_PERIOD,SHS_TIME_PERIOD,A,SHS_TIME_PERIOD,,,SHS_TIME_PERIOD
ECB,SHS_ENTITY_AREA,Mapping of Country of residency of the entity for the template SHS,E,SHS_ENTITY_AREA,,SHS_ENTITY_AREA,SHS_ENTITY_AREA
ECB,SHS_ISSUE_PRICE,SHS_ISSUE_PRICE,A,SHS_ISSUE_PRICE,,,SHS_ISSUE_PRICE
ECB,SHS_HOLDER_AREA,Mapping of Holder Country for the template SHS,E,SHS_HOLDER_AREA,,SHS_HOLDER_AREA,SHS_HOLDER_AREA
ECB,SHS_INC_MRKT_VL,SHS_INC_MRKT_VL,A,SHS_INC_MRKT_VL,,,SHS_INC_MRKT_VL
ECB,SHS_LGD_DWNTRNS,SHS_LGD_DWNTRNS,A,SHS_LGD_DWNTRNS,,,SHS_LGD_DWNTRNS
ECB,SHS_OWN_MRKT_VL,SHS_OWN_MRKT_VL,A,SHS_OWN_MRKT_VL,,,SHS_OWN_MRKT_VL
ECB,SHS_CRRYNG_AMNT,SHS_CRRYNG_AMNT,A,SHS_CRRYNG_AMNT,,,SHS_CRRYNG_AMNT
ECB,SHS_ISSUER_NAME,SHS_ISSUER_NAME,A,SHS_ISSUER_NAME,,,SHS_ISSUER_NAME
ECB,SHS_TRN_MRKT_VL,SHS_TRN_MRKT_VL,A,SHS_TRN_MRKT_VL,,,SHS_TRN_MRKT_VL
ECB,SHS_INSTR_CLASS,Mapping of Instrument ESA 2010 class for the template SHS,E,SHS_INSTR_CLASS,,SHS_INSTR_CLASS,SHS_INSTR_CLASS
ECB,SHS_EXR_MRKT_VL,SHS_EXR_MRKT_VL,A,SHS_EXR_MRKT_VL,,,SHS_EXR_MRKT_VL
ECB,SHS_ENTITY_NAME,SHS_ENTITY_NAME,A,SHS_ENTITY_NAME,,,SHS_ENTITY_NAME
ECB,SHS_ARREARS_DATE,SHS_ARREARS_DATE,A,SHS_ARREARS_DATE,,,SHS_ARREARS_DATE
ECB,SHS_IMPRMNT_STTS,Mapping of Imparement status for the template SHS,E,SHS_IMPRMNT_STTS,,SHS_IMPRMNT_STTS,SHS_IMPRMNT_STTS
ECB,SHS_PRFRMNG_STTS,Mapping of Performing status for the template SHS,E,SHS_PRFRMNG_STTS,,SHS_PRFRMNG_STTS,SHS_PRFRMNG_STTS
ECB,SHS_SRC_ENCMBRNC,Mapping of Source of encumbrance for the template SHS,E,SHS_SRC_ENCMBRNC,,SHS_SRC_ENCMBRNC,SHS_SRC_ENCMBRNC
ECB,SHS_REP_NOM_CURR,Mapping of Reported Nominal currency for the template SHS,E,SHS_REP_NOM_CURR,,SHS_REP_NOM_CURR,SHS_REP_NOM_CURR
ECB,SHS_PRDNTL_PRTFL,Mapping of Prudential portfolio for the template SHS,E,SHS_PRDNTL_PRTFL,,SHS_PRDNTL_PRTFL,SHS_PRDNTL_PRTFL
ECB,SHS_UNIT_MEASURE,Mapping of Unit for the template SHS,E,SHS_UNIT_MEASURE,,SHS_UNIT_MEASURE,SHS_UNIT_MEASURE
ECB,SHS_GROUP_SECTOR,Mapping of ESA 2010 Sector of the head of Group for the template SHS,E,SHS_GROUP_SECTOR,,SHS_GROUP_SECTOR,SHS_GROUP_SECTOR
ECB,SHS_ACCR_INTR_MV,Mapping of Accrued interests for market values for the template SHS,E,SHS_ACCR_INTR_MV,,SHS_ACCR_INTR_MV,SHS_ACCR_INTR_MV
ECB,SHS_GUARANTOR_ID,SHS_GUARANTOR_ID,A,SHS_GUARANTOR_ID,,,SHS_GUARANTOR_ID
ECB,SHS_ENTITY_SECTOR,Mapping of ESA 2010 sector of the entity for the template SHS,E,SHS_ENTITY_SECTOR,,SHS_ENTITY_SECTOR,SHS_ENTITY_SECTOR
