MAINTENANCE_AGENCY_ID,MEMBER_ID,CODE,NAME,DOMAIN_ID,DESCRIPTION
NODE,ABSTRCT_INSTRMNT_RL_TYP_-1,,ABSTRCT_INSTRMNT_RL_TYP_-1,ABSTRCT_INSTRMNT_RL_TYP,
,ABSTRCT_INSTRMNT_RL_TYP_0,0,Not_applicable,ABSTRCT_INSTRMNT_RL_TYP,
NODE,ABSTRCT_INSTRMNT_RL_TYP_1,,ABSTRCT_INSTRMNT_RL_TYP_1,ABSTRCT_INSTRMNT_RL_TYP,
NODE,ABSTRCT_INSTRMNT_RL_TYP_11,,ABSTRCT_INSTRMNT_RL_TYP_11,ABSTRCT_INSTRMNT_RL_TYP,
,ABSTRCT_INSTRMNT_RL_TYP_12,12,Non_balance_sheet_recognised_financial_liability_instrument,ABSTRCT_INSTRMNT_RL_TYP,
NODE,ABSTRCT_INSTRMNT_RL_TYP_13,,ABSTRCT_INSTRMNT_RL_TYP_13,ABSTRCT_INSTRMNT_RL_TYP,
,ABSTRCT_INSTRMNT_RL_TYP_14,14,Renegotiated_financial_asset_instrument_without_forbearance_measure,ABSTRCT_INSTRMNT_RL_TYP,
,ABSTRCT_INSTRMNT_RL_TYP_15,15,Renegotiated_financial_asset_instrument_with_forbearance_measure,ABSTRCT_INSTRMNT_RL_TYP,
NODE,ABSTRCT_INSTRMNT_RL_TYP_16,,ABSTRCT_INSTRMNT_RL_TYP_16,ABSTRCT_INSTRMNT_RL_TYP,
,ABSTRCT_INSTRMNT_RL_TYP_17,17,Non_renegotiated_financial_asset_instrument,ABSTRCT_INSTRMNT_RL_TYP,
,ABSTRCT_INSTRMNT_RL_TYP_18,18,Fixed_interest_financial_asset_instrument,ABSTRCT_INSTRMNT_RL_TYP,
,ABSTRCT_INSTRMNT_RL_TYP_19,19,Non_fixed_interest_financial_asset_instrument,ABSTRCT_INSTRMNT_RL_TYP,
,ABSTRCT_INSTRMNT_RL_TYP_20,20,Interest_only_financial_asset_instrument,ABSTRCT_INSTRMNT_RL_TYP,
,ABSTRCT_INSTRMNT_RL_TYP_21,21,Non_interest_only_financial_asset_instrument,ABSTRCT_INSTRMNT_RL_TYP,
NODE,ABSTRCT_INSTRMNT_RL_TYP_22,,ABSTRCT_INSTRMNT_RL_TYP_22,ABSTRCT_INSTRMNT_RL_TYP,
NODE,ABSTRCT_INSTRMNT_RL_TYP_23,,ABSTRCT_INSTRMNT_RL_TYP_23,ABSTRCT_INSTRMNT_RL_TYP,
,ABSTRCT_INSTRMNT_RL_TYP_24,24,Performing_non_retail_exposure_class_financial_asset_instrument,ABSTRCT_INSTRMNT_RL_TYP,
,ABSTRCT_INSTRMNT_RL_TYP_25,25,Non_performing_non_retail_exposure_class_financial_asset_instrument,ABSTRCT_INSTRMNT_RL_TYP,
NODE,ABSTRCT_INSTRMNT_RL_TYP_26,,ABSTRCT_INSTRMNT_RL_TYP_26,ABSTRCT_INSTRMNT_RL_TYP,
NODE,ABSTRCT_INSTRMNT_RL_TYP_27,,ABSTRCT_INSTRMNT_RL_TYP_27,ABSTRCT_INSTRMNT_RL_TYP,
,ABSTRCT_INSTRMNT_RL_TYP_28,28,Default_financial_asset_instrument_individually_assessed,ABSTRCT_INSTRMNT_RL_TYP,
NODE,ABSTRCT_INSTRMNT_RL_TYP_29,,ABSTRCT_INSTRMNT_RL_TYP_29,ABSTRCT_INSTRMNT_RL_TYP,
NODE,ABSTRCT_INSTRMNT_RL_TYP_3,,ABSTRCT_INSTRMNT_RL_TYP_3,ABSTRCT_INSTRMNT_RL_TYP,
,ABSTRCT_INSTRMNT_RL_TYP_30,30,Performing_financial_asset_instrument_debtor_assessed,ABSTRCT_INSTRMNT_RL_TYP,
,ABSTRCT_INSTRMNT_RL_TYP_31,31,Non_performing_financial_asset_instrument_debtor_assessed,ABSTRCT_INSTRMNT_RL_TYP,
,ABSTRCT_INSTRMNT_RL_TYP_32,32,Performing_non_default_financial_asset_instrument_individually_assessed,ABSTRCT_INSTRMNT_RL_TYP,
,ABSTRCT_INSTRMNT_RL_TYP_33,33,Non_performing_non_default_financial_asset_instrument_individually_assessed,ABSTRCT_INSTRMNT_RL_TYP,
,ABSTRCT_INSTRMNT_RL_TYP_34,34,Balance_sheet_recognised_financial_asset_instrument_according_to_national_general_accepted_accounting_principles_nGAAP,ABSTRCT_INSTRMNT_RL_TYP,
,ABSTRCT_INSTRMNT_RL_TYP_35,35,Balance_sheet_recognised_financial_asset_instrument_according_to_International_Financial_Reporting_Standard_IFRS,ABSTRCT_INSTRMNT_RL_TYP,
