MAINTENANCE_AGENCY_ID,MEMBER_HIERARCHY_ID,CODE,DOMAIN_ID,NAME,DESCRIPTION,IS_MAIN_HIERARCHY
ECB,ABSTRCT_INSTRMNT_RL_TYP_HIER_1,1,ABSTRCT_INSTRMNT_RL_TYP,ABSTRCT_INSTRMNT_RL_TYP_HIER_1,Hierarchical structure of the Member Abstract instrument role type (-1),
ECB,ABSTRCT_INSTRMNT_RL_TYP_HIER_2,2,ABSTRCT_INSTRMNT_RL_TYP,ABSTRCT_INSTRMNT_RL_TYP_HIER_2,Abstract instrument role hierarchy for BIRD Data Models and AE,
ECB,ACCNTNG_CLSSFCTN_HIER_1,1,ACCNTNG_CLSSFCTN,ACCNTNG_CLSSFCTN_HIER_1,Hierarchical structure of the Member Accounting portfolios for financial assets other than classified as held for sale (71),
ECB,ACCNTNG_CLSSFCTN_HIER_10,10,ACCNTNG_CLSSFCTN,ACCNTNG_CLSSFCTN_HIER_10,Hierarchical structure of the Member Accounting portfolios for financial assets at fair value or strict LOCOM not subject to impairment (63),
ECB,ACCNTNG_CLSSFCTN_HIER_11,11,ACCNTNG_CLSSFCTN,ACCNTNG_CLSSFCTN_HIER_11,"Hierarchical structure of the Member Investments in subsidiaries, joint ventures and associates (83)",
ECB,ACCNTNG_CLSSFCTN_HIER_13,13,ACCNTNG_CLSSFCTN,ACCNTNG_CLSSFCTN_HIER_13,Hierarchical structure of the Member Off balance sheet: measured under IAS 37 or IFRS 4 (91),
ECB,ACCNTNG_CLSSFCTN_HIER_14,14,ACCNTNG_CLSSFCTN,ACCNTNG_CLSSFCTN_HIER_14,"Hierarchical structure of the member Accounting portfolios for financial assets other than classified as held for sale, excluding financial assets held for trading, trading financial assets and cash and cash balances at central banks and other demand deposits (711)",
ECB,ACCNTNG_CLSSFCTN_HIER_15,15,ACCNTNG_CLSSFCTN,ACCNTNG_CLSSFCTN_HIER_15,"Hierarchical structure of the member Accounting portfolios for financial assets excluding financial assets held for trading, trading financial assets and cash and cash balances at central banks and other demand deposits (712)",
ECB,ACCNTNG_CLSSFCTN_HIER_2,2,ACCNTNG_CLSSFCTN,ACCNTNG_CLSSFCTN_HIER_2,Hierarchical structure of the Member Measurement for Intangible assets. Other than Goodwill (70),
ECB,ACCNTNG_CLSSFCTN_HIER_3,3,ACCNTNG_CLSSFCTN,ACCNTNG_CLSSFCTN_HIER_3,Hierarchical structure of the Member Accounting portfolios for financial liabilities other than classified as held for sale (72),
ECB,ACCNTNG_CLSSFCTN_HIER_4,4,ACCNTNG_CLSSFCTN,ACCNTNG_CLSSFCTN_HIER_4,Hierarchical structure of the Member Accounting portfolios for debt instruments subject to impairment (19),
ECB,ACCNTNG_CLSSFCTN_HIER_5,5,ACCNTNG_CLSSFCTN,ACCNTNG_CLSSFCTN_HIER_5,Hierarchical structure of the Member Accounting portfolios for trading financial instruments (38),
ECB,ACCNTNG_CLSSFCTN_HIER_6,6,ACCNTNG_CLSSFCTN,ACCNTNG_CLSSFCTN_HIER_6,Hierarchical structure of the Member Financial assets and liabilities designated at fair value through profit or loss (39),
ECB,ACCNTNG_CLSSFCTN_HIER_7,7,ACCNTNG_CLSSFCTN,ACCNTNG_CLSSFCTN_HIER_7,Hierarchical structure of the member All types of accounting portfolios for financial assets in accordance to Regulation (EU) No 680/2014 (50),
ECB,ACCNTNG_CLSSFCTN_HIER_9,9,ACCNTNG_CLSSFCTN,ACCNTNG_CLSSFCTN_HIER_9,Hierarchical structure of the member Accounting portfolios for financial assets measured at cost based methods (53),
ECB,ACCNTNG_FRMWRK_HIER_1,1,ACCNTNG_FRMWRK,ACCNTNG_FRMWRK_HIER_1,Hierarchical structure of the Member All types of IFRS or nGAAP Accounting Framework (-1),
ECB,ACCNTNG_FRMWRK_HIER_2,2,ACCNTNG_FRMWRK,ACCNTNG_FRMWRK_HIER_2,Hierarchical structure of the member All types of IFRS or nGAAP Accounting Framework (-1) Secondary,
ECB,ACCRD_INTRST_MRKT_VL_INDCTR_HIER_1,1,ACCRD_INTRST_MRKT_VL_INDCTR,ACCRD_INTRST_MRKT_VL_INDCTR_HIER_1,Main hierarchy for Accrued interests for market values indicator,
ECB,BLN_HIER_1,1,BLN,BLN_HIER_1,Used to map cases when the value of the variable is not relevant for the specific member,
ECB,CMMRCL_RL_ESTT_LN_INDCTR_HIER_1,1,CMMRCL_RL_ESTT_LN_INDCTR,CMMRCL_RL_ESTT_LN_INDCTR_HIER_1,Hierarchy for the Commercial Real Estate Indicator Domain,
ECB,CRDT_QLTY_HIER_1,1,CRDT_QLTY,CRDT_QLTY_HIER_1,Hierarchical structure of the member All impairment classification according to IFRS and nGAAP (Total) (-1),
ECB,CRDT_QLTY_HIER_2,2,CRDT_QLTY,CRDT_QLTY_HIER_2,"Hierarchical structure of the member Impaired, Non-impaired (17)",
ECB,CRDT_QLTY_HIER_3,3,CRDT_QLTY,CRDT_QLTY_HIER_3,"Hierarchical structure of the member Default, Not in default (10)",
ECB,CRDT_QLTY_HIER_4,4,CRDT_QLTY,CRDT_QLTY_HIER_4,"Hierarchical structure of the member Specific allowances (GAAP), General allowances for credit risk, General allowances for banking risk (34)",
ECB,CRDT_QLTY_HIER_5,5,CRDT_QLTY,CRDT_QLTY_HIER_5,Hierarchical structure of the member Performing and non-performing exposures (15),
ECB,CRDT_QLTY_HIER_6,6,CRDT_QLTY,CRDT_QLTY_HIER_6,Hierarchical structure of Credit Quality for BIRD Data Models and FINREP,
ECB,CRDT_QLTY_TCHNCL_HRRCHY,CRDT_QLTY_TCHNCL_HRRCHY,CRDT_QLTY,CRDT_QLTY_TCHNCL_HRRCHY,Credit quality - technical hierarchy for default status,
ECB,CRDT_QLTY_TCHNCL_HRRCHY_2,CRDT_QLTY_TCHNCL_HRRCHY_2,CRDT_QLTY,CRDT_QLTY_TCHNCL_HRRCHY_2,Credit quality - technical hierarchy for purpose,
ECB,CRRNCY_HIER_1,CRRNCY_HIER_1,CRRNCY,CRRNCY_HIER_1,Hierarchical structure of all the currencies,
EBA,EBA_AP1,AP1,EBA_AP,EBA_AP1,Approaches used for calculating capital requirements for credit risk.,
EBA,EBA_AP10,AP10,EBA_AP,EBA_AP10,Lists all the possible approaches applicable for operational risk.,
EBA,EBA_AP11,AP11,EBA_AP,EBA_AP11,Lists all the possible approaches applicable for CVA risk.,
EBA,EBA_AP12,AP12,EBA_AP,EBA_AP12,Hierarchy for the Methodologies for Var/Stressed VaR calculation used in C 107.1.a template,
EBA,EBA_AP13,AP13,EBA_AP,EBA_AP13,Hierarchy for VaR/SVaR data weighting applied for VaR and SVaR calculation used in C 107.1.a template,
EBA,EBA_AP14,AP14,EBA_AP,EBA_AP14,Hierarchy used for Sources of LGDd applied for IRC calculation used in C 109.1.a and C 110.1.a templates,
EBA,EBA_AP15,AP15,EBA_AP,EBA_AP15,Methods to determine the risk weigth for securitisations (revised framework),
EBA,EBA_AP16,AP16,EBA_AP,EBA_AP16,EBA_AP16,
EBA,EBA_AP17,AP17,EBA_AP,EBA_AP17,EBA_AP17,
EBA,EBA_AP18,AP18,EBA_AP,EBA_AP18,EBA_AP18,
EBA,EBA_AP2,AP2,EBA_AP,EBA_AP2,"According to the CRR, there are different methods to determine risk weights for securitisation exposures. The CRR clearly describes the methods and the sequence of application. These hierarchy lists the possible methods to determine risk weights (separate dimension in the domain AP)",
EBA,EBA_AP22,AP22,EBA_AP,EBA_AP22,Approaches used for calculating capital requirements for the credit risk for securitisation positions and equity positions in the IRB. There is no differentiation in foundation and advanced IRB for these exposure classes.,
EBA,EBA_AP23,AP23,EBA_AP,EBA_AP23,EBA_AP23,
EBA,EBA_AP24,AP24,EBA_AP,EBA_AP24,Lists allowed values for the 'Derivative treatment' metric,
EBA,EBA_AP24_1,AP24_1,EBA_AP,EBA_AP24_1,EBA_AP24_1,
EBA,EBA_AP25,AP25,EBA_AP,EBA_AP25,EBA_AP25,
EBA,EBA_AP26,AP26,EBA_AP,EBA_AP26,Hierarchy for the Regulatory Approach used in C 101 (SBP) template,
EBA,EBA_AP26_1,AP26_1,EBA_AP,EBA_AP26_1,Hierarchy for the Regulatory Approach,
EBA,EBA_AP27,AP27,EBA_AP,EBA_AP27,EBA_AP27,
EBA,EBA_AP28,AP28,EBA_AP,EBA_AP28,Hierarchy for the Methodologies for Var/Stressed VaR calculation used in C 107.1.a template,
EBA,EBA_AP29,AP29,EBA_AP,EBA_AP29,EBA_AP29,
EBA,EBA_AP3,AP3,EBA_AP,EBA_AP3,Lists all the possible approaches applicable for CVA risk.,
EBA,EBA_AP30,AP30,EBA_AP,EBA_AP30,EBA_AP30,
EBA,EBA_AP30_REL_2,AP30_REL_2,EBA_AP,EBA_AP30_REL_2,EBA_AP30_REL_2,
EBA,EBA_AP4,AP4,EBA_AP,EBA_AP4,This hierarchy includes the different approaches for market risk for commodity risk,
EBA,EBA_AP5,AP5,EBA_AP,EBA_AP5,This hierarchy includes the different approaches for market risk,
EBA,EBA_AP6,AP6,EBA_AP,EBA_AP6,EBA_AP6,
EBA,EBA_AP61,AP61,EBA_AP,EBA_AP61,EBA_AP61,
EBA,EBA_AP7,AP7,EBA_AP,EBA_AP7,There are different possibilities in the IRB approach (excluding equity and securitisation positions) how risk weights are determined. These hierarchy lists the possible methods to determine risk weights (separate dimension in the domain AP),
EBA,EBA_AP8,AP8,EBA_AP,EBA_AP8,EBA_AP8,
EBA,EBA_AP9,AP9,EBA_AP,EBA_AP9,Hierarchy shows the approaches used to calculate own funds requirements for risks other than delta risks.,
EBA,EBA_AP_AP1,AP1,EBA_AP,EBA_AP_AP1,Approaches used for calculating capital requirements for credit risk.,
EBA,EBA_AP_AP10,AP10,EBA_AP,EBA_AP_AP10,Lists all the possible approaches applicable for operational risk.,
ECB6,EBA_AP_AP1002,AP1002,EBA_AP,EBA_AP_AP1002,,
ECB6,EBA_AP_AP1005,AP1005,EBA_AP,EBA_AP_AP1005,,
ECB6,EBA_AP_AP1006,AP1006,EBA_AP,EBA_AP_AP1006,,
ECB6,EBA_AP_AP1007,AP1007,EBA_AP,EBA_AP_AP1007,,
ECB6,EBA_AP_AP1008,AP1008,EBA_AP,EBA_AP_AP1008,,
ECB6,EBA_AP_AP1009,AP1009,EBA_AP,EBA_AP_AP1009,,
ECB6,EBA_AP_AP1010,AP1010,EBA_AP,EBA_AP_AP1010,,
ECB6,EBA_AP_AP1011,AP1011,EBA_AP,EBA_AP_AP1011,,
ECB6,EBA_AP_AP1012,AP1012,EBA_AP,EBA_AP_AP1012,,
ECB6,EBA_AP_AP1013,AP1013,EBA_AP,EBA_AP_AP1013,,
ECB6,EBA_AP_AP1014,AP1014,EBA_AP,EBA_AP_AP1014,,
ECB6,EBA_AP_AP1015,AP1015,EBA_AP,EBA_AP_AP1015,,
ECB6,EBA_AP_AP1016,AP1016,EBA_AP,EBA_AP_AP1016,,
EBA,EBA_AP_AP11,AP11,EBA_AP,EBA_AP_AP11,Lists all the possible approaches applicable for CVA risk.,
EBA,EBA_AP_AP12,AP12,EBA_AP,EBA_AP_AP12,Hierarchy for the Methodologies for Var/Stressed VaR calculation used in C 107.1.a template,
EBA,EBA_AP_AP13,AP13,EBA_AP,EBA_AP_AP13,Hierarchy for VaR/SVaR data weighting applied for VaR and SVaR calculation used in C 107.1.a template,
EBA,EBA_AP_AP14,AP14,EBA_AP,EBA_AP_AP14,Hierarchy used for Sources of LGDd applied for IRC calculation used in C 109.1.a and C 110.1.a templates,
EBA,EBA_AP_AP15,AP15,EBA_AP,EBA_AP_AP15,Methods to determine the risk weigth for securitisations (revised framework),
EBA,EBA_AP_AP2,AP2,EBA_AP,EBA_AP_AP2,"According to the CRR, there are different methods to determine risk weights for securitisation exposures. The CRR clearly describes the methods and the sequence of application. These hierarchy lists the possible methods to determine risk weights (separate dimension in the domain AP)",
EBA,EBA_AP_AP22,AP22,EBA_AP,EBA_AP_AP22,Approaches used for calculating capital requirements for the credit risk for securitisation positions and equity positions in the IRB. There is no differentiation in foundation and advanced IRB for these exposure classes.,
EBA,EBA_AP_AP23,AP23,EBA_AP,EBA_AP_AP23,,
EBA,EBA_AP_AP24,AP24,EBA_AP,EBA_AP_AP24,Lists allowed values for the 'Derivative treatment' metric,
EBA,EBA_AP_AP25,AP25,EBA_AP,EBA_AP_AP25,,
EBA,EBA_AP_AP26,AP26,EBA_AP,EBA_AP_AP26,Hierarchy for the Regulatory Approach used in C 101 (SBP) template,
EBA,EBA_AP_AP26_1,AP26_1,EBA_AP,EBA_AP_AP26_1,Hierarchy for the Regulatory Approach,
EBA,EBA_AP_AP27,AP27,EBA_AP,EBA_AP_AP27,,
EBA,EBA_AP_AP28,AP28,EBA_AP,EBA_AP_AP28,Hierarchy for the Methodologies for Var/Stressed VaR calculation used in C 107.1.a template,
ECB6,EBA_AP_AP29,AP29,EBA_AP,EBA_AP_AP29,,
EBA,EBA_AP_AP3,AP3,EBA_AP,EBA_AP_AP3,Lists all the possible approaches applicable for CVA risk.,
ECB6,EBA_AP_AP30,AP30,EBA_AP,EBA_AP_AP30,,
EBA,EBA_AP_AP4,AP4,EBA_AP,EBA_AP_AP4,This hierarchy includes the different approaches for market risk for commodity risk,
EBA,EBA_AP_AP5,AP5,EBA_AP,EBA_AP_AP5,This hierarchy includes the different approaches for market risk,
EBA,EBA_AP_AP6,AP6,EBA_AP,EBA_AP_AP6,,
ECB6,EBA_AP_AP6000,AP6000,EBA_AP,EBA_AP_AP6000,,
ECB6,EBA_AP_AP6001,AP6001,EBA_AP,EBA_AP_AP6001,,
ECB6,EBA_AP_AP6002,AP6002,EBA_AP,EBA_AP_AP6002,,
ECB6,EBA_AP_AP6003,AP6003,EBA_AP,EBA_AP_AP6003,,
ECB6,EBA_AP_AP6004,AP6004,EBA_AP,EBA_AP_AP6004,,
ECB6,EBA_AP_AP6005,AP6005,EBA_AP,EBA_AP_AP6005,,
ECB6,EBA_AP_AP6006,AP6006,EBA_AP,EBA_AP_AP6006,,
ECB6,EBA_AP_AP6007,AP6007,EBA_AP,EBA_AP_AP6007,,
ECB6,EBA_AP_AP6008,AP6008,EBA_AP,EBA_AP_AP6008,,
ECB6,EBA_AP_AP6009,AP6009,EBA_AP,EBA_AP_AP6009,,
ECB6,EBA_AP_AP6010,AP6010,EBA_AP,EBA_AP_AP6010,,
ECB6,EBA_AP_AP6011,AP6011,EBA_AP,EBA_AP_AP6011,,
ECB6,EBA_AP_AP6012,AP6012,EBA_AP,EBA_AP_AP6012,,
ECB6,EBA_AP_AP6013,AP6013,EBA_AP,EBA_AP_AP6013,,
ECB6,EBA_AP_AP6014,AP6014,EBA_AP,EBA_AP_AP6014,,
ECB6,EBA_AP_AP6015,AP6015,EBA_AP,EBA_AP_AP6015,,
ECB6,EBA_AP_AP6016,AP6016,EBA_AP,EBA_AP_AP6016,,
EBA,EBA_AP_AP7,AP7,EBA_AP,EBA_AP_AP7,There are different possibilities in the IRB approach (excluding equity and securitisation positions) how risk weights are determined. These hierarchy lists the possible methods to determine risk weights (separate dimension in the domain AP),
EBA,EBA_AP_AP8,AP8,EBA_AP,EBA_AP_AP8,,
EBA,EBA_AP_AP9,AP9,EBA_AP,EBA_AP_AP9,Hierarchy shows the approaches used to calculate own funds requirements for risks other than delta risks.,
EBA,EBA_AP_AP_all,AP_all,EBA_AP,EBA_AP_AP_all,,
EBA,EBA_AS1,AS1,EBA_AS,EBA_AS1,EBA_AS1,
EBA,EBA_AS_AS1,AS1,EBA_AS,EBA_AS_AS1,,
ECB6,EBA_AS_AS1000,AS1000,EBA_AS,EBA_AS_AS1000,,
ECB6,EBA_AS_AS6000,AS6000,EBA_AS,EBA_AS_AS6000,,
EBA,EBA_AS_AS_all,AS_all,EBA_AS,EBA_AS_AS_all,,
EBA,EBA_AT1,AT1,EBA_ATY,EBA_AT1,"This hierarchy shows the calculation of the RWA for the SA except positions assigned to the exposure class securitisation. The single steps were taken from the template CR SA, beginning with the Original exposure pre conversion factors to the risk weighted exposure amount.",
EBA,EBA_AT101,AT101,EBA_ATY,EBA_AT101,"Components of ""All reclassifications"" (I)",
EBA,EBA_AT102,AT102,EBA_ATY,EBA_AT102,"Components of ""All reclassifications"" (II)",
EBA,EBA_AT105,AT105,EBA_ATY,EBA_AT105,Lists the different types of computable amount. Applicable in CA4 template for detailed breakdowns of holdings.,
EBA,EBA_AT106,AT106,EBA_ATY,EBA_AT106,Shows the different features of the grandfathered instruments not constituting state aid.,
EBA,EBA_AT107,AT107,EBA_ATY,EBA_AT107,Shows the different features of the grandfathered instruments not constituting state aid.,
EBA,EBA_AT11,AT11,EBA_ATY,EBA_AT11,Hierarchy follows the validation rule embedded in the template MKR IM,
EBA,EBA_AT2,AT2,EBA_ATY,EBA_AT2,"This hierarchy shows the calculation of the RWA for the IRB, all exposure class except equities and other non-credit risk related items. The single steps were taken from the template CR IRB EQU.",
EBA,EBA_AT3,AT3,EBA_ATY,EBA_AT3,"This hierarchy shows the calculation of the RWA for the IRB, exposure class equities. The single steps were taken from the template CR IRB EQU.",
EBA,EBA_AT4,AT4,EBA_ATY,EBA_AT4,"This hierarchy shows the calculation of the RWA for the SA, exposure class securitisation. The single steps were taken from the template CR SEC SA.",
EBA,EBA_AT40,AT40,EBA_ATY,EBA_AT40,Breakdown between additions and reversals,
EBA,EBA_AT47,AT47,EBA_ATY,EBA_AT47,EBA_AT47,
EBA,EBA_AT5,AT5,EBA_ATY,EBA_AT5,"This hierarchy shows the calculation of the RWA for the IRB, exposure class securitisation. The single steps were taken from the template CR SEC IRB.",
EBA,EBA_AT6,AT6,EBA_ATY,EBA_AT6,The different levels of the hierarchy are taken from the respective market risk templates. The hierarchy is not applicable for calculating the specific risk of securitisation positions in the trading book and CTP-positions.,
