ID,MEMBER_HIERARCHY_ID,MEMBER_ID,LEVEL,PARENT_MEMBER_ID,COMPARATOR,OPERATOR,VALID_FROM,VALID_TO
98501,EBA_PU_PU23,EBA_PU_EBA_x4,2,EBA_PU_EBA_x0,,+,,
98502,EBA_PU_PU23,EBA_PU_EBA_x1,2,EBA_PU_EBA_x0,,+,,
98503,EBA_PU_PU23,EBA_PU_EBA_x3,2,EBA_PU_EBA_x0,,+,,
98504,EBA_RT_RT3,EBA_RT_EBA_x11,2,EBA_RT_EBA_x8,,+,,
98505,EBA_RT_RT3,EBA_RT_EBA_x10,2,EBA_RT_EBA_x8,,+,,
98506,EBA_NC_NC1,EBA_NC_EBA_B5,2,EBA_NC_EBA_B,,+,,
98507,EBA_NC_NC1,EBA_NC_EBA_B6,2,EBA_NC_EBA_B,,+,,
98508,EBA_NC_NC1,EBA_NC_EBA_A2,2,EBA_NC_EBA_A,,+,,
98509,EBA_NC_NC1,EBA_NC_EBA_B8,2,EBA_NC_EBA_B,,+,,
98510,EBA_NC_NC1,EBA_NC_EBA_A1,2,EBA_NC_EBA_A,,+,,
98511,EBA_NC_NC1,EBA_NC_EBA_B7,2,EBA_NC_EBA_B,,+,,
98512,EBA_NC_NC1,EBA_NC_EBA_B9,2,EBA_NC_EBA_B,,+,,
98513,EBA_NC_NC1,EBA_NC_EBA_A3,2,EBA_NC_EBA_A,,+,,
98514,EBA_GA_GA8,EBA_GA_EBA_DZ,3,EBA_GA_EBA_x1,,,,
98515,EBA_GA_GA5,EBA_GA_EBA_TD,2,EBA_GA_EBA_x0,,,,
98516,EBA_GA_GA5,EBA_GA_EBA_MG,2,EBA_GA_EBA_x0,,,,
98517,EBA_GA_GA5,EBA_GA_EBA_CK,2,EBA_GA_EBA_x0,,,,
98518,EBA_GA_GA8,EBA_GA_EBA_GS,3,EBA_GA_EBA_x1,,,,
98519,EBA_GA_GA1,EBA_GA_EBA_LU,2,EBA_GA_EBA_x0,,+,,
98520,EBA_GA_GA8,EBA_GA_EBA_UG,3,EBA_GA_EBA_x1,,,,
98521,EBA_GA_GA1,EBA_GA_EBA_GB,2,EBA_GA_EBA_x0,,+,,
98522,EBA_GA_GA8,EBA_GA_EBA_BH,3,EBA_GA_EBA_x1,,,,
98523,EBA_GA_GA8,EBA_GA_EBA_OM,3,EBA_GA_EBA_x1,,,,
98524,EBA_GA_GA8,EBA_GA_EBA_VN,3,EBA_GA_EBA_x1,,,,
98525,EBA_GA_GA1,EBA_GA_EBA_DK,2,EBA_GA_EBA_x0,,+,,
98526,EBA_NC_NC1,EBA_NC_EBA_C13,2,EBA_NC_EBA_C,,+,,
98527,EBA_GA_GA5,EBA_GA_EBA_AL,2,EBA_GA_EBA_x0,,,,
98528,EBA_GA_GA8,EBA_GA_EBA_ET,3,EBA_GA_EBA_x1,,,,
98529,EBA_TA_TA1,EBA_TA_EBA_x4,2,EBA_TA_EBA_x0,,+,,
98530,EBA_GA_GA5,EBA_GA_EBA_LI,2,EBA_GA_EBA_x0,,,,
98531,EBA_GA_GA5,EBA_GA_EBA_VC,2,EBA_GA_EBA_x0,,,,
98532,EBA_GA_GA5,EBA_GA_EBA_BE,2,EBA_GA_EBA_x0,,,,
98533,EBA_GA_GA5,EBA_GA_EBA_IR,2,EBA_GA_EBA_x0,,,,
98534,EBA_NC_NC1,EBA_NC_EBA_J58,2,EBA_NC_EBA_J,,+,,
98535,EBA_GA_GA8,EBA_GA_EBA_CF,3,EBA_GA_EBA_x1,,,,
98536,EBA_GA_GA1,EBA_GA_EBA_EE,2,EBA_GA_EBA_x0,,+,,
98537,EBA_GA_GA5,EBA_GA_EBA_SX,2,EBA_GA_EBA_x0,,,,
98538,EBA_GA_GA8,EBA_GA_EBA_NC,3,EBA_GA_EBA_x1,,,,
98539,EBA_GA_GA5,EBA_GA_EBA_AW,2,EBA_GA_EBA_x0,,,,
98540,EBA_GA_GA6,EBA_GA_EBA_LV,2,EBA_GA_EBA_x0,,+,,
98541,EBA_NC_NC1,EBA_NC_EBA_M72,2,EBA_NC_EBA_M,,+,,
98542,EBA_GA_GA5,EBA_GA_EBA_LR,2,EBA_GA_EBA_x0,,,,
98543,EBA_EC_EC2,EBA_EC_EBA_x1,2,EBA_EC_EBA_x0,,+,,
98544,EBA_EC_EC1,EBA_EC_EBA_x5,2,EBA_EC_EBA_x0,=,+,,
98545,EBA_ER_ER1,EBA_ER_EBA_x9,2,EBA_ER_EBA_x0,,+,,
98546,EBA_GA_GA5,EBA_GA_EBA_GE,2,EBA_GA_EBA_x0,,,,
98547,EBA_GA_GA5,EBA_GA_EBA_SC,2,EBA_GA_EBA_x0,,,,
98548,EBA_GA_GA8,EBA_GA_EBA_TR,3,EBA_GA_EBA_x1,,,,
98549,EBA_GA_GA8,EBA_GA_EBA_MQ,3,EBA_GA_EBA_x1,,,,
98550,EBA_GA_GA8,EBA_GA_EBA_JM,3,EBA_GA_EBA_x1,,,,
98551,EBA_GA_GA5,EBA_GA_EBA_NU,2,EBA_GA_EBA_x0,,,,
98552,EBA_GA_GA8,EBA_GA_EBA_SN,3,EBA_GA_EBA_x1,,,,
98553,EBA_GA_GA8,EBA_GA_EBA_GH,3,EBA_GA_EBA_x1,,,,
98554,EBA_NC_NC1,EBA_NC_EBA_C27,2,EBA_NC_EBA_C,,+,,
98555,EBA_GA_GA8,EBA_GA_EBA_PG,3,EBA_GA_EBA_x1,,,,
98556,EBA_GA_GA8,EBA_GA_EBA_ID,3,EBA_GA_EBA_x1,,,,
98557,EBA_GA_GA5,EBA_GA_EBA_FK,2,EBA_GA_EBA_x0,,,,
98558,EBA_GA_GA8,EBA_GA_EBA_BS,3,EBA_GA_EBA_x1,,,,
98559,EBA_GA_GA5,EBA_GA_EBA_KN,2,EBA_GA_EBA_x0,,,,
98560,EBA_GA_GA8,EBA_GA_EBA_VU,3,EBA_GA_EBA_x1,,,,
98561,EBA_EC_EC9,EBA_EC_EBA_x9,3,EBA_EC_EBA_x4,,+,,
98562,EBA_GA_GA8,EBA_GA_EBA_AZ,3,EBA_GA_EBA_x1,,,,
98563,EBA_GA_GA5,EBA_GA_EBA_VA,2,EBA_GA_EBA_x0,,,,
98564,EBA_GA_GA8,EBA_GA_EBA_KZ,3,EBA_GA_EBA_x1,,,,
98565,EBA_GA_GA5,EBA_GA_EBA_BG,2,EBA_GA_EBA_x0,,,,
98566,EBA_NC_NC1,EBA_NC_EBA_C33,2,EBA_NC_EBA_C,,+,,
98567,EBA_GA_GA5,EBA_GA_EBA_LK,2,EBA_GA_EBA_x0,,,,
98568,EBA_GA_GA8,EBA_GA_EBA_CD,3,EBA_GA_EBA_x1,,,,
98569,EBA_GA_GA5,EBA_GA_EBA_SZ,2,EBA_GA_EBA_x0,,,,
98570,EBA_GA_GA8,EBA_GA_EBA_NA,3,EBA_GA_EBA_x1,,,,
98571,EBA_GA_GA1,EBA_GA_EBA_EG,2,EBA_GA_EBA_x0,,+,,
98572,EBA_GA_GA5,EBA_GA_EBA_PS,2,EBA_GA_EBA_x0,,,,
98573,EBA_GA_GA8,EBA_GA_EBA_MH,3,EBA_GA_EBA_x1,,,,
98574,EBA_GA_GA6,EBA_GA_EBA_IT,2,EBA_GA_EBA_x0,,+,,
98575,EBA_GA_GA8,EBA_GA_EBA_TK,3,EBA_GA_EBA_x1,,,,
98576,EBA_GA_GA5,EBA_GA_EBA_NL,2,EBA_GA_EBA_x0,,,,
98577,EBA_GA_GA5,EBA_GA_EBA_CI,2,EBA_GA_EBA_x0,,,,
98578,EBA_GA_GA8,EBA_GA_EBA_GQ,3,EBA_GA_EBA_x1,,,,
98579,EBA_GA_GA5,EBA_GA_EBA_TF,2,EBA_GA_EBA_x0,,,,
98580,EBA_GA_GA5,EBA_GA_EBA_ME,2,EBA_GA_EBA_x0,,,,
98581,EBA_GA_GA8,EBA_GA_EBA_BJ,3,EBA_GA_EBA_x1,,,,
98582,EBA_GA_GA5,EBA_GA_EBA_FR,2,EBA_GA_EBA_x0,,,,
98583,EBA_GA_GA5,EBA_GA_EBA_KW,2,EBA_GA_EBA_x0,,,,
98584,EBA_RP_RP1,EBA_RP_EBA_x2,2,EBA_RP_EBA_x0,,+,,
98585,EBA_GA_GA8,EBA_GA_EBA_PE,3,EBA_GA_EBA_x1,,,,
98586,EBA_GA_GA8,EBA_GA_EBA_JO,3,EBA_GA_EBA_x1,,,,
98587,EBA_GA_GA8,EBA_GA_EBA_SL,3,EBA_GA_EBA_x1,,,,
98588,EBA_GA_GA5,EBA_GA_EBA_CR,2,EBA_GA_EBA_x0,,,,
98589,EBA_GA_GA8,EBA_GA_EBA_AX,3,EBA_GA_EBA_x1,,,,
98590,EBA_GA_GA5,EBA_GA_EBA_FI,2,EBA_GA_EBA_x0,,,,
98591,EBA_GA_GA8,EBA_GA_EBA_BQ,3,EBA_GA_EBA_x1,,,,
98592,EBA_GA_GA1,EBA_GA_EBA_PT,2,EBA_GA_EBA_x0,,+,,
98593,EBA_NC_NC1,EBA_NC_EBA_H50,2,EBA_NC_EBA_H,,+,,
98594,EBA_GA_GA5,EBA_GA_EBA_RO,2,EBA_GA_EBA_x0,,,,
