MAINTENANCE_AGENCY_ID,MEMBER_MAPPING_ID,NAME,CODE
ECB,DPM_ACT,Mapping of Accounting treatment,DPM_ACT
ECB,DPM_ALO,Mapping of Type of allowance,DPM_ALO
ECB,DPM_ALO_F_12.00,Mapping of Type of allowance for the template F12.00,DPM_ALO_F_12.00
ECB,DPM_APL,Mapping of Accounting portfolio,DPM_APL
ECB,DPM_BAS,Mapping of Base,DPM_BAS
ECB,DPM_BAS_AE_F32.03.a,Mapping of Base for the template AEF32.03.a,DPM_BAS_AE_F32.03.a
ECB,DPM_BAS_ALO_IMS_APL,"Mapping of Base, Accounting portfolio, Impairment status, Type of allowance",DPM_BAS_ALO_IMS_APL
ECB,DPM_BAS_APL,"Mapping of Accounting portfolio, Base",DPM_BAS_APL
ECB,DPM_BAS_APL_2.9,"Mapping of Accounting portfolio, Base for the template 2.9",DPM_BAS_APL_2.9
ECB,DPM_BAS_CNO_MCB_MCF_MCY_REC,"Mapping of Base, Instrument, Main category, Controlling and non-controlling owners, To be reclassified to profit or loss, Hedged or hedging instrument",DPM_BAS_CNO_MCB_MCF_MCY_REC
ECB,DPM_BAS_CNO_MCB_MCY_APL,"Mapping of Main category, Instrument, Accounting portfolio, Base, Controlling and non-controlling owners",DPM_BAS_CNO_MCB_MCY_APL
ECB,DPM_BAS_CPC_ECC_EXC_MCG_MCY_AE_F32.02.a,"Mapping of Base, Exposure class of the collateral received, Exposure class, Main category of collateral or guarantee received, Main category, Counterparty sector of the collateral for the template AEF32.02.a",DPM_BAS_CPC_ECC_EXC_MCG_MCY_AE_F32.02.a
ECB,DPM_BAS_CPE_CPS_MCS_MCY_AE_F32.04.a,"Mapping of Base, Main category, Main category of the source of encumbrance, Counterparty sector of the source of encumbrance, Counterparty sector for the template AEF32.04.a",DPM_BAS_CPE_CPS_MCS_MCY_AE_F32.04.a
ECB,DPM_BAS_CPS_CPZ_MCB_MCG_MCY_MCP_PUR_APL,"Mapping of Base, Main category, Main category that generates the provision, Accounting portfolio, Counterparty sector, Size of the counterparty, Main category of collateral or guarantee received, Purpose, Instrument",DPM_BAS_CPS_CPZ_MCB_MCG_MCY_MCP_PUR_APL
ECB,DPM_BAS_CPS_CPZ_MCG_MCY_MCP_PUR_APL,"Mapping of Base, Main category, Main category that generates the provision, Accounting portfolio, Counterparty sector, Size of the counterparty, Main category of collateral or guarantee received, Purpose",DPM_BAS_CPS_CPZ_MCG_MCY_MCP_PUR_APL
ECB,DPM_BAS_CPS_EXC_MCG_MCY_AE_F32.01,"Mapping of Base, Exposure class, Main category of collateral or guarantee received, Main category, Counterparty sector for the template AEF32.01",DPM_BAS_CPS_EXC_MCG_MCY_AE_F32.01
ECB,DPM_BAS_CPS_EXC_MCY_AE_F36.01.a,"Mapping of Base, Counterparty sector, Exposure class, Main category for the template AEF36.01.a",DPM_BAS_CPS_EXC_MCY_AE_F36.01.a
ECB,DPM_BAS_CPS_MCB_MCY_APL,"Mapping of Base, Main category, Counterparty sector, Accounting portfolio, Instrument",DPM_BAS_CPS_MCB_MCY_APL
ECB,DPM_BAS_CPS_MCY,"Mapping of Base, Main category, Counterparty sector",DPM_BAS_CPS_MCY
ECB,DPM_BAS_CPS_MCY_APL,"Mapping of Counterparty sector, Main category, Accounting portfolio, Base",DPM_BAS_CPS_MCY_APL
ECB,DPM_BAS_CRA_AE_F35.00.c,"Mapping of Base, Credit rating agency /Covered bond regime for the template AEF35.00.c",DPM_BAS_CRA_AE_F35.00.c
ECB,DPM_BAS_EXC_MCY_AE_F32.04.b,"Mapping of Base, Exposure class, Main category for the template AEF32.04.b",DPM_BAS_EXC_MCY_AE_F32.04.b
ECB,DPM_BAS_MCB_MCY,"Mapping of Base, Instrument, Main category",DPM_BAS_MCB_MCY
ECB,DPM_BAS_MCB_MCY_APL,"Mapping of Base, Main category, Accounting portfolio, Instrument",DPM_BAS_MCB_MCY_APL
ECB,DPM_BAS_MCB_MCY_APL_F_42.00,"Mapping of Base, Main category, Accounting portfolio, Instrument for the template F42.00",DPM_BAS_MCB_MCY_APL_F_42.00
ECB,DPM_BAS_MCE_MCY_TYA,"Mapping of Main category, Base, Main category that generates income or expenses, Type of activity",DPM_BAS_MCE_MCY_TYA
ECB,DPM_BAS_MCE_MCY_TYA_2.9,"Mapping of Main category, Base, Main category that generates income or expenses, Type of activity for the template 2.9",DPM_BAS_MCE_MCY_TYA_2.9
ECB,DPM_BAS_MCF_MCH_MCY,"Mapping of Base, Main category, Main category of hedged item, Hedged or hedging instrument",DPM_BAS_MCF_MCH_MCY
ECB,DPM_BAS_MCG_MCY_AE_F33.00.a,"Mapping of Base, Main category, Main category of collateral or guarantee received for the template AEF33.00.a",DPM_BAS_MCG_MCY_AE_F33.00.a
ECB,DPM_BAS_MCP_MCY,"Mapping of Base, Main category, Main category that generates the provision",DPM_BAS_MCP_MCY
